time,seconds_elapsed,steps
1775728187610953700,-33.41104638671875,0
1775728227724804600,6.7028046875,6
1775728228225084400,7.20308447265625,7
1775728228892142600,7.870142578125,8
1775728229410947000,8.388947021484375,9
1775728230059447300,9.037447265625,10
1775728230559778000,9.537778076171875,11
1775728231208270000,10.18627001953125,12
1775728231746884000,10.724884033203125,13
1775728232412625000,11.390625,14
1775728232949919700,11.927919677734375,14
1775728233747702300,12.725702392578125,15
1775728234914124300,13.892124267578126,17
1775728240398467600,19.376467529296875,27
1775728240937017900,19.915017822265625,28
1775728241380344300,20.35834423828125,28
1775728241899269600,20.87726953125,30
1775728242325422800,21.3034228515625,31
1775728242788672000,21.766672119140626,32
1775728243214706700,22.192706787109376,32
1775728243752302600,22.730302490234376,34
1775728244178183000,23.156182861328126,34
1775728244716902000,23.69490185546875,36
1775728245178771700,24.156771728515626,37
1775728246142317300,25.1203173828125,37
