time,seconds_elapsed,pressure,relativeAltitude
1775728220719732000,-0.30226806640625,1015.1279296875,0
1775728220818979000,-0.20302099609375,1015.1298828125,-0.0158538818359375
1775728220919495400,-0.102504638671875,1015.132568359375,-0.04227638244628906
1775728221020081400,-0.001918701171875,1015.16259765625,-0.2906503677368164
1775728221120697900,0.09869775390625,1015.129638671875,-0.0158538818359375
1775728221221406000,0.199406005859375,1015.112548828125,0.1268291473388672
1775728221322052900,0.300052978515625,1015.121826171875,0.047560691833496094
1775728221422760700,0.4007607421875,1015.1533203125,-0.2113819122314453
1775728221523438300,0.501438232421875,1015.137451171875,-0.0792684555053711
1775728221624024300,0.6020244140625,1015.109130859375,0.15325164794921875
1775728221724610000,0.702610107421875,1015.129150390625,-0.010569572448730469
1775728221825226800,0.803226806640625,1015.126220703125,0.010569572448730469
1775728221925782000,0.903781982421875,1015.057861328125,0.5812997817993164
1775728222026429000,1.004428955078125,1015.12060546875,0.05813026428222656
1775728222127015000,1.105014892578125,1015.1083984375,0.15853595733642578
1775728222227723000,1.205722900390625,1015.1171875,0.08983707427978516
1775728222328461600,1.306461669921875,1015.1328125,-0.04227638244628906
1775728222428925400,1.406925537109375,1015.126220703125,0.010569572448730469
1775728222529450200,1.5074501953125,1015.12451171875,0.026422500610351562
1775728222630158300,1.608158447265625,1015.125244140625,0.02113819122314453
1775728222730957800,1.708957763671875,1015.102294921875,0.2113819122314453
1775728222831666000,1.809666015625,1015.1201171875,0.0634145736694336
1775728222932435000,1.91043505859375,1015.102783203125,0.20609760284423828
1775728223032868400,2.010868408203125,1015.11962890625,0.06869888305664062
1775728223133576200,2.111576171875,1015.12353515625,0.03699207305908203
1775728223234192600,2.212192626953125,1015.109375,0.15325164794921875
1775728223334656500,2.312656494140625,1015.109375,0.15325164794921875
1775728223435181600,2.413181640625,1015.11669921875,0.08983707427978516
1775728223535676000,2.513676025390625,1015.125732421875,0.0158538818359375
1775728223636231200,2.614231201171875,1015.140869140625,-0.11097526550292969
1775728223736939300,2.714939208984375,1015.08935546875,0.31707286834716797
1775728223837586200,2.815586181640625,1015.099853515625,0.23252010345458984
1775728223938233300,2.9162333984375,1015.104736328125,0.19024372100830078
1775728224038849800,3.016849853515625,1015.11181640625,0.13211345672607422
1775728224139527200,3.117527099609375,1015.120361328125,0.05813026428222656
1775728224240204500,3.21820458984375,1015.119384765625,0.06869888305664062
1775728224340760000,3.318760009765625,1015.09521484375,0.2695121765136719
1775728224441437400,3.4194375,1015.020751953125,0.8878040313720703
1775728224541932000,3.51993212890625,1015.0615234375,0.5495929718017578
1775728224642518000,3.62051806640625,1015.035888671875,0.7609748840332031
1775728224743165000,3.7211650390625,1015.070556640625,0.47560977935791016
1775728224843842300,3.82184228515625,1015.0439453125,0.6975603103637695
1775728224944489200,3.9224892578125,1015.060791015625,0.5548772811889648
1775728225045227800,4.023227783203125,1015.059326171875,0.5707311630249023
1775728225145875000,4.123875,1015.057373046875,0.5865850448608398
1775728225246369300,4.224369384765625,1015.044677734375,0.6922760009765625
1775728225347016200,4.32501611328125,1015.05908203125,0.5707311630249023
1775728225447602200,4.425602294921875,1015.040771484375,0.7239828109741211
1775728225548249000,4.5262490234375,1015.044677734375,0.6922760009765625
1775728225648804600,4.6268046875,1015.03662109375,0.7556905746459961
1775728225749421000,4.727421142578125,1015.05224609375,0.6288614273071289
1775728225849945900,4.82794580078125,1015.008056640625,0.993494987487793
1775728225950531800,4.92853173828125,1015.039794921875,0.7292680740356445
1775728226051209200,5.029209228515625,1015.04833984375,0.6605682373046875
1775728226151703800,5.129703857421875,1014.99169921875,1.1308927536010742
1775728226252350700,5.230350830078125,1015.008544921875,0.9882106781005859
1775728226352906000,5.330906005859375,1015.027587890625,0.8349580764770508
1775728226453492000,5.431491943359375,1015.0078125,0.998779296875
1775728226554169600,5.532169677734375,1015.013671875,0.9459342956542969
1775728226654847000,5.632846923828125,1015.03466796875,0.7715444564819336
1775728226755555000,5.73355517578125,1014.970458984375,1.305283546447754
1775728226856232400,5.834232421875,1014.942626953125,1.5378036499023438
1775728226956726800,5.934726806640625,1014.97412109375,1.2788610458374023
1775728227057221400,6.035221435546875,1014.980224609375,1.2260150909423828
1775728227157837800,6.135837890625,1014.986572265625,1.1731691360473633
1775728227258454300,6.236454345703125,1014.987548828125,1.1678848266601562
1775728227359040000,6.3370400390625,1014.974365234375,1.273575782775879
1775728227459565000,6.43756494140625,1014.981689453125,1.2154455184936523
1775728227560151000,6.538151123046875,1014.966552734375,1.3422746658325195
1775728227660767500,6.638767578125,1014.969970703125,1.310567855834961
1775728227761384000,6.739384033203125,1015.001953125,1.046339988708496
1775728227862000400,6.84000048828125,1014.94677734375,1.5060958862304688
1775728227962525200,6.940525146484375,1014.919189453125,1.7333316802978516
1775728228063141600,7.0411416015625,1014.920654296875,1.722762107849121
1775728228163788500,7.14178857421875,1014.92041015625,1.722762107849121
1775728228264405000,7.242405029296875,1014.948974609375,1.4849576950073242
1775728228364991000,7.342990966796875,1014.937744140625,1.5800800323486328
1775728228465577000,7.443576904296875,1014.921142578125,1.717477798461914
1775728228566132500,7.544132568359375,1014.962158203125,1.3739824295043945
1775728228666840300,7.64484033203125,1014.955810546875,1.4268274307250977
1775728228767456800,7.745456787109375,1014.908447265625,1.8231687545776367
1775728228868164900,7.846164794921875,1014.927490234375,1.664632797241211
1775728228968659200,7.9466591796875,1014.92333984375,1.701624870300293
