time,seconds_elapsed,magneticBearing
1775728221161310700,0.139310791015625,304.03865798039146
1775728221171310800,0.149310791015625,304.1908659282192
1775728221181310700,0.159310791015625,304.2316883157316
1775728221201310700,0.179310791015625,304.50674803002676
1775728221211310800,0.189310791015625,304.4695661661108
1775728221221310700,0.199310791015625,304.26288598989856
1775728221231310800,0.209310791015625,304.08720784011825
1775728221241310700,0.219310791015625,304.05632924313363
1775728221251310800,0.229310791015625,303.9648224457667
1775728221261310700,0.239310791015625,303.99157559743674
1775728221271310800,0.249310791015625,303.934261791102
1775728221281310700,0.259310791015625,304.07935955868004
1775728221291310800,0.269310791015625,304.21504541530294
1775728221301310700,0.279310791015625,304.4946360928054
1775728221311310800,0.289310791015625,304.5528548753782
1775728221321310700,0.299310791015625,304.56132745412924
1775728221331310800,0.309310791015625,304.543210065602
1775728221341310700,0.319310791015625,304.04094445757903
1775728221351310800,0.329310791015625,303.8217518644585
1775728221361310700,0.339310791015625,303.8056898003265
1775728221371310800,0.349310791015625,303.9165960403567
1775728221381310700,0.359310791015625,304.1949014006169
1775728221391310800,0.369310791015625,304.47621754462557
1775728221401310700,0.379310791015625,304.8928600888621
1775728221411310800,0.389310791015625,305.00023669242705
1775728221421310700,0.399310791015625,305.01880084044
1775728221431310800,0.409310791015625,305.09041701978674
1775728221441310700,0.419310791015625,305.34064238006954
1775728221451310800,0.429310791015625,304.446042140861
1775728221461310700,0.439310791015625,304.166706464689
1775728221471310800,0.449310791015625,303.9076183629378
1775728221481310700,0.459310791015625,303.7645917349205
1775728221491310800,0.469310791015625,303.57457774279123
1775728221501310700,0.479310791015625,303.2181591647766
1775728221511310800,0.489310791015625,303.0403579279881
1775728221521310700,0.499310791015625,302.79502258886737
1775728221531310800,0.509310791015625,302.5536587572258
1775728221541310700,0.519310791015625,302.53929421527175
1775728221551310800,0.529310791015625,302.41440376712217
1775728221561310700,0.539310791015625,302.5127824858914
1775728221571310800,0.549310791015625,302.5825236712378
1775728221581310700,0.559310791015625,302.6159206216423
1775728221591310800,0.569310791015625,302.45507387311545
1775728221601310700,0.579310791015625,302.3766764078673
1775728221611310800,0.589310791015625,302.10897942340875
1775728221621310700,0.599310791015625,301.99398591559213
1775728221631310800,0.609310791015625,301.8898499813415
1775728221641310700,0.619310791015625,301.83517022221247
1775728221651310800,0.629310791015625,301.95923149656323
1775728221661310700,0.639310791015625,302.06468357976144
1775728221671310800,0.649310791015625,302.03546471067773
1775728221681310700,0.659310791015625,302.2791825368297
1775728221691310800,0.669310791015625,302.1146216219038
1775728221701310700,0.679310791015625,302.12788429608554
1775728221711310800,0.689310791015625,302.13915756914
1775728221721310700,0.699310791015625,302.25824277239644
1775728221731310800,0.709310791015625,302.20814017106545
1775728221741310700,0.719310791015625,302.21157158865174
1775728221751310800,0.729310791015625,302.29886009874235
1775728221761310700,0.739310791015625,302.41457036776865
1775728221771310800,0.749310791015625,302.2370014502076
1775728221781310700,0.759310791015625,302.3190933865453
1775728221791310800,0.769310791015625,302.4326237194432
1775728221801310700,0.779310791015625,302.3976989572783
1775728221811310800,0.789310791015625,302.68070628144983
1775728221821310700,0.799310791015625,302.8018852283474
1775728221831310800,0.809310791015625,302.92580325423864
1775728221841310700,0.819310791015625,303.3610224919288
1775728221851310800,0.829310791015625,303.35565675179316
1775728221861310700,0.839310791015625,303.5416311270849
