time,seconds_elapsed,x,y,z
1775728221161544700,0.139544677734375,-0.006686304212237792,-0.07796650280779374,-9.80668779546774
1775728221180073500,0.158073486328125,-0.03161590119095781,-0.1774185865421927,-9.80534405719357
1775728221198602000,0.17660205078125,-2.0311429932987832,-9.318578843131228,-7.688448416229534
1775728221217130800,0.195130859375,-2.031557949523059,-9.32301958863808,-7.688332248564775
1775728221235659500,0.213659423828125,-2.8360565855988304,-8.787171849397582,-8.1363373335593
1775728221254188300,0.232188232421875,-2.4847818796344305,-10.254752535916706,-7.70879384400957
1775728221272717000,0.250717041015625,-1.9388987731869185,-9.232213930779565,-7.700178409344362
1775728221291245800,0.269245849609375,-1.9429537376155857,-9.117964339488946,-7.700848363295558
1775728221309774300,0.2877744140625,-2.358587716649649,-8.7380737700171,-7.257476907369687
1775728221328303000,0.30630322265625,-2.396127639247589,-8.684824559138473,-6.643176945472664
1775728221346832000,0.324831787109375,-2.317105781594882,-9.904456406674843,-6.694356627684185
1775728221365360600,0.343360595703125,-1.6266816225122018,-9.351248707805844,-6.978843350511189
1775728221383889400,0.361889404296875,-1.6064952531647003,-9.363364358360174,-6.979344367663643
1775728221402418200,0.380418212890625,-2.4726300622241753,-8.479883943902701,-7.836958260093013
1775728221420947000,0.398947021484375,-2.7745851292119603,-9.164987701035725,-8.503559323794589
1775728221439475700,0.417475830078125,-1.8499095611307208,-8.463323007365577,-7.349237038390024
1775728221458004200,0.436004150390625,-1.8428578392399286,-8.391005946437453,-7.345330774774531
1775728221476533000,0.454532958984375,-2.3730580517258177,-8.672159103475515,-7.298878997613144
1775728221495061800,0.473061767578125,-2.3807558252353904,-8.651646071418412,-7.297572236875746
1775728221513590500,0.491590576171875,-2.363879316368664,-8.74509694067209,-7.614883473509366
1775728221532119300,0.510119384765625,-2.1658075680421773,-8.495123971188002,-7.531854302752848
1775728221550647800,0.528647705078125,-2.362536363091025,-8.740752587475024,-7.888330084083481
1775728221569176600,0.547176513671875,-2.358787166589685,-8.720768284844985,-7.8869951546957004
1775728221587705300,0.565705322265625,-2.2564851105360217,-8.589009959630088,-7.720728723134348
1775728221606234000,0.584234130859375,-2.2683062884554985,-8.558707517938274,-7.718562828973189
1775728221624763000,0.602762939453125,-2.2008115345507906,-8.63127817252467,-7.2008639609141145
1775728221643291600,0.621291748046875,-2.1980928574195215,-8.624955596296086,-7.200402433040406
1775728221661820200,0.639820068359375,-2.1962802195568387,-8.44550961822114,-7.760743368249855
1775728221680349000,0.658348876953125,-2.3103550259776457,-8.628254443378855,-7.409779453869199
1775728221698877700,0.676877685546875,-2.3141555905483373,-8.659942137679382,-7.412236574128199
1775728221717406200,0.69540625,-2.471007797398906,-8.500371547446665,-7.658505620587407
1775728221735935000,0.71393505859375,-1.70639892706352,-8.511966648907373,-7.828989972308287
1775728221754463700,0.732463623046875,-1.6870450705877489,-8.44437286210858,-7.823625811590535
1775728221772992500,0.750992431640625,-2.0457055900353636,-8.4185210167243,-7.265991334677571
1775728221791521300,0.769521240234375,-2.4859230811054713,-8.654728343896446,-6.607177898694223
1775728221810049800,0.7880498046875,-2.2279793860726356,-8.403908324052201,-7.1118999981666065
1775728221828578600,0.80657861328125,-2.3441216471376407,-8.563752268263833,-7.817210039917658
1775728221847107300,0.825107421875,-2.2760268697592894,-8.553459557965992,-7.570579439322641
1775728221865636000,0.843635986328125,-1.8133124831611591,-8.382458052492924,-7.937151048168854
1775728221884164900,0.862164794921875,-1.6475493165953863,-8.225870597783352,-7.169031581842377
1775728221902693600,0.880693603515625,-1.5962676784895133,-8.201205341425391,-7.165920710136872
1775728221921222100,0.89922216796875,-1.794529366596886,-9.042155499107364,-7.208308613187503
1775728221939751000,0.9177509765625,-1.746880840360166,-9.12954527989921,-7.214060617659284
1775728221958279700,0.93627978515625,-2.0353118467357336,-9.110371484037143,-6.972479065109209
1775728221976808200,0.95480810546875,-1.3756160664566386,-8.407036549425946,-8.280659413606186
1775728221995337000,0.9733369140625,-1.3065766923997042,-8.310723313771067,-8.270202283523933
1775728222013865700,0.99186572265625,-1.3476340165584204,-8.61216450672881,-7.165419901767338
1775728222032394500,1.01039453125,-0.7892867314161486,-8.216476735896471,-5.278054802896197
1775728222050923300,1.02892333984375,-0.8034922273359687,-8.474480663329222,-5.296589900574055
1775728222069451800,1.04745166015625,-0.2657502369341119,-8.146362923643022,-6.663852968373774
1775728222087980500,1.06598046875,-2.890788441094883,-9.175161176975584,-8.902668866576544
1775728222106509300,1.08450927734375,-0.785297400150139,-8.747173811851077,-7.733344494804948
1775728222125037800,1.103037841796875,-0.7486615917387701,-9.07021169406414,-6.029812273225998
1775728222143566600,1.121566650390625,-1.641948122994634,-9.286900833049431,-6.543175044297362
1775728222162095400,1.140095458984375,0.3346103040759888,-9.760596062570366,-5.408078834916983
