time,seconds_elapsed,qw,qx,qy,qz,roll,pitch,yaw
1775728221152280300,0.1302802734375,0.9999905172923705,0.003975664208597246,-0.0003339568412278177,0.001745821372832093,-0.0006817890007386465,-0.007950172555335352,-0.003488962124246477
1775728221180073500,0.158073486328125,0.999953543536071,0.009050546607584085,-0.0015856163747622613,0.002912764403656167,-0.0032238152294232097,-0.018092096238647527,-0.005796619367716625
1775728221198602000,0.17660205078125,0.9999111336549446,0.012743355910219193,-0.00238199310712092,0.0031076971967288285,-0.004842786768365425,-0.025472695155426456,-0.006154243896360492
1775728221217130800,0.195130859375,0.9999110365054826,0.012967172709209981,-0.0024170507077951923,0.0019822644467131973,-0.004885099517713916,-0.025925669237120513,-0.0039015480188471035
1775728221235659500,0.213659423828125,0.9999259923937993,0.011753415461508276,-0.002818450496352279,0.001386829861368107,-0.005669114160650415,-0.023499814277069285,-0.0027072484222904407
1775728221254188300,0.232188232421875,0.9999458488710192,0.009597838450345085,-0.003822669865247666,0.001252205174544128,-0.007669037827085935,-0.01918680528544996,-0.0024309698784396256
1775728221272717000,0.250717041015625,0.9999708836335001,0.006016118466961069,-0.004669377926379038,0.0004848851504771956,-0.009344454185667681,-0.012028173532527634,-0.0009135990172140234
1775728221300510000,0.278510009765625,0.999988068661148,0.00018804636350608435,-0.004878983906196043,-0.0001506318542625771,-0.009757949589214098,-0.00037757608527678446,0.00030310949961129355
1775728221319038700,0.297038818359375,0.9999697540445933,-0.005999388048889874,-0.004848455140328506,0.000995400314612483,-0.009684824801494116,0.01200891730657218,-0.0020490134706314675
1775728221337567500,0.3155673828125,0.9999197231986239,-0.011265446882959423,-0.004600505241302155,0.003531602531361922,-0.009120828152461437,0.0225644325906031,-0.007166650983968766
1775728221356096300,0.33409619140625,0.9998612702260775,-0.014730510338864673,-0.004343127784419929,0.006449000550450659,-0.008495158567001842,0.029518302708468353,-0.013025002998212756
1775728221374625000,0.352625,0.9998830953053365,-0.01412449115831692,-0.0032871856212949684,0.004846533073145759,-0.006436737487932406,0.02828189872398214,-0.00978515148573572
1775728221393153800,0.37115380859375,0.9998472364266302,-0.01672255670902583,-0.0015880244654796797,0.004830950780198006,-0.0030139966128917214,0.033461743620921004,-0.00971373411053505
1775728221411682600,0.3896826171875,0.9997524262168811,-0.02132970322648159,-0.00007959654879550579,0.0063343269665691185,0.00011106494334758162,0.04266279442721058,-0.012669252046999153
1775728221430211300,0.40821142578125,0.9997524262168811,-0.02132970322648159,-0.00007959654879550579,0.0063343269665691185,0.00011106494334758162,0.04266279442721058,-0.012669252046999153
1775728221448739800,0.42673974609375,0.9996646864068064,-0.025027385309624117,0.0007980121870275039,0.006596052781331588,0.0019256543044498416,0.050048443197277824,-0.01314814095475759
1775728221467268600,0.4452685546875,0.999570968127627,-0.028719602576687656,0.0011611097470882665,0.005631689656815293,0.002644706048608652,0.057433254108594074,-0.011192126544330128
1775728221485797400,0.46379736328125,0.99946305818537,-0.03263269083485291,0.0005207427369834271,0.002903728400981186,0.0012304395096988158,0.06527370474213942,-0.005770388453279012
1775728221504326100,0.482326171875,0.9994392250761213,-0.03335815322584698,0.0001588422963526526,0.0029058151572876304,0.0005113717199649644,0.06672748617643401,-0.005797807166511623
1775728221522855000,0.50085498046875,0.9994581588691873,-0.03280320145540638,-0.0002261228446892637,0.002699539321685402,-0.0002748935831128382,0.06561915916416079,-0.005411014916280672
1775728221541383400,0.519383544921875,0.9994569232260282,-0.032845648234364984,-0.0002506127118804447,0.002638029737202871,-0.0003276576321776623,0.06570421127514597,-0.0052896821951168025
1775728221559912200,0.537912109375,0.9994222436913249,-0.033866717711913255,-0.00006981415769000678,0.002866944785455563,0.00005464037527658623,0.06774651197227423,-0.005735336984405184
1775728221578441000,0.55644091796875,0.99939306292863,-0.03472959816830778,-0.00021875998642325255,0.0027042420874897437,-0.0002494199462449125,0.06947409867279201,-0.005420423169742045
1775728221596969700,0.5749697265625,0.99939306292863,-0.03472959816830778,-0.00021875998642325255,0.0027042420874897437,-0.0002494199462449125,0.06947409867279201,-0.005420423169742045
1775728221615498500,0.59349853515625,0.9993172622807246,-0.03684568506169719,-0.0015183461387053311,0.00225819066833635,-0.0028682137813318136,0.07371496037562597,-0.004625222355992251
1775728221634027300,0.61202734375,0.9993062603376409,-0.03716951642704856,-0.0013665519433488835,0.00188616923003044,-0.0025909947267704356,0.07436137806944029,-0.0038713322537159496
1775728221652555800,0.6305556640625,0.9992563664960432,-0.03851484575933063,-0.0007791220322350398,0.0016473136067585764,-0.0014301937305791817,0.07705127360699941,-0.0033522024547766828
1775728221680349000,0.658348876953125,0.9992155836135167,-0.039570235415869646,-0.000610315811905037,0.0014287923718193914,-0.0011065990651856665,0.07916284065343648,-0.002903649746094598
