time,seconds_elapsed,magneticBearing
1777561205463214300,0.13721435546875,309.0331243542234
1777561205473214500,0.14721435546875,310.2174663629729
1777561205493214500,0.16721435546875,311.08824510020514
1777561205503214300,0.17721435546875,318.4049459296619
1777561205523214300,0.19721435546875,316.7531384423241
1777561205533214500,0.20721435546875,316.7531384423241
1777561205543214300,0.21721435546875,313.7704492134254
1777561205553214500,0.22721435546875,310.162799618671
1777561205563214300,0.23721435546875,309.63068249389966
1777561205573214500,0.24721435546875,306.57883064198467
1777561205583214300,0.25721435546875,306.57883064198467
1777561205593214500,0.26721435546875,309.2234275079077
1777561205603214300,0.27721435546875,310.15529881210097
1777561205613214500,0.28721435546875,309.8440966352757
1777561205623214300,0.29721435546875,306.53377587892794
1777561205633214500,0.30721435546875,309.6225547312872
1777561205643214300,0.31721435546875,307.04340788735203
1777561205653214500,0.32721435546875,305.0752705007034
1777561205663214300,0.33721435546875,307.9052501596156
1777561205673214500,0.34721435546875,306.8100911838552
1777561205683214300,0.35721435546875,308.18766190269906
1777561205693214500,0.36721435546875,304.31331346850845
1777561205703214300,0.37721435546875,306.15818454767015
1777561205713214500,0.38721435546875,306.7368071439303
1777561205723214300,0.39721435546875,306.51719224047696
1777561205733214500,0.40721435546875,307.2248082029906
1777561205743214300,0.41721435546875,308.62194201466343
1777561205753214500,0.42721435546875,310.3148337156661
1777561205763214300,0.43721435546875,306.84614047460195
1777561205773214500,0.44721435546875,309.0484187116609
1777561205783214300,0.45721435546875,309.51038883987775
1777561205793214500,0.46721435546875,307.0345415694086
1777561205803214300,0.47721435546875,308.34036982435987
1777561205813214500,0.48721435546875,308.0551990944863
1777561205823214300,0.49721435546875,306.03625653077285
1777561205833214500,0.50721435546875,309.9184221161622
1777561205843214300,0.51721435546875,307.9765525389822
1777561205853214500,0.52721435546875,308.4574378469535
1777561205863214300,0.53721435546875,308.71596326365596
1777561205873214500,0.54721435546875,308.49776860396145
1777561205883214300,0.55721435546875,309.7056114859931
1777561205893214500,0.56721435546875,310.9820478921531
1777561205903214300,0.57721435546875,311.92525773119644
1777561205913214500,0.58721435546875,312.9621672344863
1777561205923214300,0.59721435546875,312.0913496143004
1777561205933214500,0.60721435546875,312.1487146874824
1777561205943214300,0.61721435546875,312.1322137180818
1777561205953214500,0.62721435546875,312.30452581543756
1777561205963214300,0.63721435546875,313.60880499969414
1777561205973214500,0.64721435546875,313.60880499969414
1777561205983214300,0.65721435546875,310.13115449443137
1777561205993214500,0.66721435546875,310.1675954163487
1777561206003214300,0.67721435546875,312.3799223160131
1777561206013214500,0.68721435546875,312.5761262471312
1777561206023214300,0.69721435546875,312.0805719534198
1777561206033214500,0.70721435546875,315.1079015205044
1777561206043214300,0.71721435546875,313.3646044712184
1777561206053214500,0.72721435546875,313.31592562446014
1777561206063214300,0.73721435546875,313.9337732213683
1777561206073214500,0.74721435546875,312.46830574878953
1777561206083214300,0.75721435546875,313.4309238206562
1777561206093214500,0.76721435546875,314.1612029056401
1777561206103214300,0.77721435546875,315.04188329742107
1777561206113214500,0.78721435546875,312.6683341172619
1777561206123214300,0.79721435546875,313.6650005083151
1777561206133214500,0.80721435546875,314.00314315519825
1777561206143214300,0.81721435546875,314.57469328146135
1777561206153214500,0.82721435546875,315.02047133662603
1777561206163214300,0.83721435546875,314.37527386758103
1777561206173214500,0.84721435546875,315.5534665611615
1777561206183214300,0.85721435546875,315.0618073003983
1777561206193214500,0.86721435546875,314.3548969996477
1777561206203214300,0.87721435546875,313.8819858836414
1777561206213214500,0.88721435546875,314.0989596175193
1777561206223214300,0.89721435546875,312.7463338628806
1777561206233214500,0.90721435546875,311.81809455697146
1777561206243214300,0.91721435546875,311.9110869551845
1777561206253214500,0.92721435546875,313.8788950278866
1777561206263214300,0.93721435546875,312.7442315367432
1777561206273214500,0.94721435546875,314.2757410361643
1777561206283214300,0.95721435546875,313.1599611697391
1777561206293214500,0.96721435546875,313.85423682353536
1777561206303214300,0.97721435546875,311.6833339992543
1777561206313214500,0.98721435546875,312.797402728841
1777561206323214300,0.99721435546875,313.44025530973204
1777561206333214500,1.00721435546875,313.1284979330617
1777561206343214300,1.01721435546875,316.87474314113274
1777561206353214500,1.02721435546875,315.04026447764943
1777561206363214300,1.03721435546875,311.071283074382
1777561206373214500,1.04721435546875,315.2505345358032
1777561206383214300,1.05721435546875,313.9735774839377
1777561206393214500,1.06721435546875,314.28460648857833
1777561206403214300,1.07721435546875,315.3278684124241
1777561206413214500,1.08721435546875,315.3278684124241
1777561206423214300,1.09721435546875,317.189711452232
1777561206433214500,1.10721435546875,317.54387923326505
1777561206443214300,1.11721435546875,316.2850013357279
1777561206453214500,1.12721435546875,313.44857628196866
1777561206463214300,1.13721435546875,316.17909322247533
1777561206473214500,1.14721435546875,315.41071536881617
1777561206483214300,1.15721435546875,313.6902649136918
1777561206493214500,1.16721435546875,314.47436543278445
1777561206503214300,1.17721435546875,316.17357417963194
1777561206513214500,1.18721435546875,315.4735062855484
1777561206523214300,1.19721435546875,315.41071536881617
1777561206533214500,1.20721435546875,314.2389187587613
1777561206543214300,1.21721435546875,315.19349213455064
1777561206553214500,1.22721435546875,314.1972338805576
1777561206563214300,1.23721435546875,314.0430776483783
1777561206573214500,1.24721435546875,314.2843378301111
1777561206583214300,1.25721435546875,312.7193314887529
1777561206593214500,1.26721435546875,313.90608260739145
1777561206603214300,1.27721435546875,311.78497492045403
1777561206613214500,1.28721435546875,310.21163799765014
1777561206623214300,1.29721435546875,311.3867206927414
1777561206633214500,1.30721435546875,310.71442315328693
1777561206643214300,1.31721435546875,313.48779113801197
1777561206653214500,1.32721435546875,313.52787060991506
1777561206663214300,1.33721435546875,311.04610875773477
1777561206673214500,1.34721435546875,312.458721066898
1777561206683214300,1.35721435546875,312.18698365576324
1777561206693214500,1.36721435546875,313.7022597706786
1777561206703214300,1.37721435546875,313.8701339417253
1777561206713214500,1.38721435546875,312.8582987754164
1777561206723214300,1.39721435546875,315.58293279910504
1777561206733214500,1.40721435546875,315.37680877998605
1777561206743214300,1.41721435546875,314.1743522786501
