0.00080,-0.01565,0.00177
-0.02679,-0.04655,-0.02574
-0.03099,-0.04254,-0.03435
-0.03195,-0.04463,-0.04359
-0.02735,-0.04410,-0.05908
-0.02389,-0.05095,-0.06336
-0.02195,-0.06584,-0.05964
-0.01955,-0.07376,-0.06101
-0.01685,-0.08268,-0.06293
-0.01444,-0.09474,-0.06110
-0.01319,-0.10841,-0.05817
-0.01150,-0.11856,-0.05681
-0.01066,-0.12888,-0.05655
-0.00991,-0.13907,-0.05536
-0.00930,-0.15124,-0.05271
-0.00827,-0.16648,-0.04821
-0.00788,-0.18071,-0.04474
-0.00579,-0.18683,-0.04274
-0.00426,-0.18770,-0.04048
-0.00346,-0.18733,-0.03815
-0.00330,-0.18523,-0.03612
-0.00286,-0.18298,-0.03436
-0.00076,-0.18042,-0.03434
0.00044,-0.17816,-0.03412
0.00288,-0.17688,-0.03318
0.00328,-0.17800,-0.02855
0.00411,-0.17835,-0.02479
0.00516,-0.17582,-0.02321
0.00645,-0.17460,-0.02090
0.00844,-0.17680,-0.01648
0.00871,-0.17827,-0.01114
0.01042,-0.17779,-0.00903
0.01221,-0.17704,-0.00683
0.01358,-0.17779,-0.00287
0.01488,-0.17817,0.00108
0.01570,-0.17769,0.00428
0.01762,-0.17841,0.00781
0.01899,-0.17854,0.01117
0.02070,-0.17918,0.01457
0.02228,-0.18109,0.01941
0.02386,-0.18416,0.02588
0.02561,-0.18515,0.02985
0.02610,-0.18292,0.03118
0.02800,-0.18003,0.03146
0.02996,-0.17922,0.03359
0.03109,-0.18008,0.03745
0.03081,-0.17942,0.04157
0.02954,-0.17879,0.04508
0.03135,-0.18087,0.05073
0.03294,-0.18249,0.05663
0.03575,-0.18505,0.06218
0.03793,-0.18584,0.06534
0.03988,-0.18786,0.06991
0.04117,-0.18789,0.07446
0.04134,-0.18871,0.07891
0.04209,-0.18765,0.08320
0.04367,-0.18815,0.08913
0.04564,-0.18796,0.09420
0.04856,-0.18915,0.10204
0.05041,-0.19045,0.10866
0.05093,-0.18917,0.11147
0.05104,-0.18717,0.11277
0.05045,-0.18327,0.11107
0.05019,-0.18112,0.11395
0.05065,-0.18004,0.11675
0.05629,-0.18693,0.12830
0.05952,-0.19249,0.14132
0.06307,-0.19734,0.15030
0.05888,-0.19014,0.14200
0.05773,-0.18521,0.13779
0.05641,-0.17888,0.13096
0.05902,-0.17293,0.12450
0.06092,-0.16904,0.12110
0.06341,-0.16920,0.12336
0.06420,-0.16913,0.12772
0.06622,-0.17146,0.13081
0.06852,-0.17350,0.13258
0.06917,-0.17237,0.13491
0.06940,-0.16993,0.13646
0.07094,-0.16956,0.13879
0.07273,-0.17184,0.14323
0.07424,-0.17228,0.14710
0.07627,-0.17285,0.15072
0.07765,-0.17581,0.15737
0.08153,-0.18146,0.16544
0.08585,-0.18833,0.17308
0.09039,-0.19321,0.18039
0.08919,-0.19260,0.18292
0.08876,-0.19108,0.18305
0.08911,-0.19057,0.18495
0.09030,-0.19167,0.18988
0.09089,-0.19160,0.19232
0.09144,-0.19142,0.19369
0.09255,-0.19294,0.19733
0.09755,-0.19794,0.20374
0.09996,-0.20941,0.21956
0.10159,-0.21712,0.23377
0.10273,-0.22110,0.24173
0.10253,-0.21166,0.23232
0.10160,-0.20506,0.22707
0.10145,-0.19977,0.22128
0.10286,-0.20085,0.22493
0.10428,-0.20215,0.22925
0.10505,-0.20311,0.23104
0.10714,-0.20915,0.23813
0.10888,-0.21248,0.24205
0.11084,-0.21790,0.24851
0.11349,-0.22243,0.25372
0.11517,-0.22253,0.25488
0.11658,-0.21882,0.25146
0.11652,-0.21111,0.24520
0.11761,-0.20898,0.24443
0.11913,-0.21158,0.24920
0.12020,-0.21573,0.25462
0.12113,-0.21963,0.26069
0.12092,-0.21935,0.26289
0.12072,-0.21679,0.26131
0.12065,-0.21293,0.25869
0.12080,-0.21392,0.26174
0.12371,-0.21819,0.26740
0.12395,-0.21769,0.26926
0.12573,-0.21481,0.26765
0.12861,-0.21437,0.26819
0.13156,-0.22504,0.28415
0.13257,-0.21898,0.27983
0.12657,-0.21046,0.27592
0.12202,-0.20571,0.27361
0.11961,-0.22102,0.29778
0.11301,-0.21419,0.29209
0.10292,-0.19380,0.27646
0.10651,-0.19186,0.27923
0.11534,-0.20100,0.28913
0.11970,-0.20897,0.29752
0.11928,-0.20862,0.29979
0.12335,-0.21396,0.30871
0.12748,-0.22172,0.31788
0.12887,-0.21694,0.31223
0.12947,-0.20637,0.30295
0.12977,-0.19996,0.30042
0.13346,-0.20471,0.30623
0.13397,-0.20398,0.30646
0.13510,-0.20036,0.30481
0.13661,-0.19733,0.30457
0.13675,-0.19469,0.30403
0.13585,-0.18888,0.29868
0.13525,-0.18282,0.29493
0.13627,-0.18050,0.29570
0.13648,-0.18144,0.29723
0.13199,-0.17146,0.29744
0.12871,-0.16232,0.29973
0.12808,-0.16527,0.30697
0.13128,-0.17173,0.31736
0.13140,-0.17237,0.32483
0.13104,-0.16619,0.32693
0.13030,-0.16314,0.32929
0.13233,-0.16912,0.33569
0.13636,-0.18120,0.34573
0.14038,-0.18613,0.35185
0.14146,-0.18517,0.35469
0.14239,-0.18210,0.35460
0.14363,-0.17944,0.35479
0.14648,-0.17755,0.35481
0.14935,-0.17434,0.35465
0.15249,-0.17137,0.35488
0.15493,-0.16832,0.35666
0.16035,-0.16809,0.36044
0.16545,-0.17087,0.36605
0.16418,-0.16736,0.36753
0.16569,-0.16352,0.36140
0.16762,-0.15981,0.36164
0.16729,-0.16075,0.36998
0.17025,-0.16345,0.38253
0.17141,-0.16847,0.39255
0.17064,-0.16887,0.39633
0.16999,-0.17207,0.40155
0.17201,-0.17521,0.40714
0.17608,-0.18043,0.41578
0.18070,-0.18815,0.42608
0.18895,-0.19620,0.43512
0.19271,-0.19756,0.43720
0.19664,-0.19245,0.43547
0.19959,-0.18874,0.43424
0.20293,-0.18564,0.43190
0.20348,-0.18043,0.42866
0.20331,-0.17218,0.42437
0.20461,-0.16608,0.42378
0.20564,-0.16535,0.42599
0.20474,-0.16391,0.42884
0.20404,-0.15910,0.43399
0.20529,-0.15800,0.43974
0.20590,-0.15898,0.44852
0.20705,-0.15452,0.45357
0.20941,-0.15033,0.45604
0.21163,-0.14964,0.46001
0.21249,-0.15311,0.46866
0.21374,-0.15459,0.47874
0.21491,-0.15373,0.48440
0.21603,-0.15384,0.48863
0.21772,-0.15193,0.48993
0.22087,-0.14981,0.49051
0.22451,-0.14750,0.49143
0.22702,-0.14585,0.49220
0.22982,-0.14622,0.49513
0.23229,-0.14789,0.49918
0.23461,-0.15015,0.50796
0.23684,-0.15283,0.51423
0.23957,-0.15361,0.51153
0.24218,-0.15025,0.51311
0.24124,-0.15004,0.51776
0.24262,-0.15752,0.53234
0.24366,-0.16303,0.54089
0.24199,-0.16332,0.54192
0.24270,-0.16607,0.54710
0.24419,-0.17523,0.55806
0.24793,-0.18509,0.56920
0.25311,-0.18846,0.57337
0.25866,-0.18982,0.57414
0.26393,-0.18961,0.57350
0.26820,-0.18631,0.57173
0.27082,-0.17594,0.56472
0.27227,-0.16692,0.56033
