time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1777560073918000000,0.092000244140625,45,1.5,2.8679356575012207,20.47599983215332,0,0,65.69999694824219,4.864328,52.3347809
1777560074941000000,1.115,45,1.5,2.7331676483154297,19.858999252319336,0.6337593793869019,248.2440643310547,65.69999694824219,4.8641715,52.3347427
1777560080183150800,6.35715087890625,180,1.5,2.7331676483154297,33.55099868774414,0.8922884464263916,64.76873016357422,65.69999694824219,4.8642666,52.3347695
1777560081417526500,7.591526611328125,180,1.5,2.7258729934692383,33.6510009765625,1.221527338027954,65.36785125732422,65.69999694824219,4.8643085,52.3347808
1777560082640518700,8.8145185546875,111.46763610839844,0.3988105356693268,2.738204002380371,33.70500183105469,1.2330513000488281,87.18838500976562,65.69999694824219,4.8643345,52.33478
1777560083818306800,9.992306884765625,102.8599624633789,0.33254149556159973,2.7401785850524902,33.770999908447266,1.2227528095245361,95.73312377929688,65.69999694824219,4.8643549,52.3347783
1777560085057466400,11.23146630859375,90.64078521728516,0.31425291299819946,2.7471725940704346,33.61800003051758,1.239932656288147,101.93671417236328,65.69999694824219,4.8643743,52.3347765
1777560085923296500,12.097296630859375,76.97083282470703,0.2574208378791809,2.7471725940704346,33.46500015258789,1.2610561847686768,102.70685577392578,65.69999694824219,4.8643871,52.3347744
1777560086280380400,12.45438037109375,70.50682830810547,0.21048349142074585,2.755239725112915,33.224998474121094,1.2528778314590454,99.07586669921875,65.69999694824219,4.8643914,52.3347745
1777560086558561500,12.7325615234375,69.68264770507812,0.24394001066684723,2.755239725112915,32.9739990234375,1.2467060089111328,97.21192932128906,65.69999694824219,4.8643944,52.3347747
1777560093599575600,19.773575439453126,180,1.5,2.6872735023498535,29.551000595092773,1.2501205205917358,103.4381103515625,66,4.8644069,52.3347277
1777560094822111700,20.99611181640625,180,0.4020509123802185,2.6931402683258057,29.472999572753906,1.2154122591018677,100.5632553100586,66,4.8643561,52.3347079
1777560095377697800,21.55169775390625,114.67115020751953,0.2683352828025818,2.5277163982391357,29.54400062561035,1.2444934844970703,83.17096710205078,65.5,4.8641818,52.3346732
1777560096037838000,22.211838134765625,102.92257690429688,0.30297422409057617,2.5277163982391357,26.22599983215332,1.207729697227478,96.63700103759766,65.5,4.8641928,52.3346309
1777560097240674800,23.4146748046875,102.68937683105469,0.1955103725194931,2.543285608291626,24.31399917602539,1.2374444007873535,92.16175079345703,65.5,4.8642044,52.3346275
