time,seconds_elapsed,z,y,x
1776037938444197000,-1522135.3818029785,9.726892471313477,0.7075505256652832,-1.0282648801803589
1776037938453868000,-1522135.3721320801,9.721433639526367,0.728678286075592,-1.0644876956939697
1776037938483280400,-1522135.3427197265,9.719482421875,0.7099770307540894,-1.0945274829864502
1776037938493251000,-1522135.3327490233,9.717697143554688,0.7231503129005432,-1.10172700881958
1776037938523433000,-1522135.3025671386,9.71220874786377,0.7653922438621521,-1.1214137077331543
1776037938543574800,-1522135.282425293,9.710251808166504,0.7788228988647461,-1.1290916204452515
1776037938553554000,-1522135.272446045,9.709903717041016,0.7817922234535217,-1.1300196647644043
1776037938563655200,-1522135.2623447266,9.70920467376709,0.7865447402000427,-1.13273024559021
1776037938573665000,-1522135.252334961,9.708353042602539,0.7937199473381042,-1.1350233554840088
1776037938583735800,-1522135.2422641602,9.706892967224121,0.8067148923873901,-1.1383460760116577
1776037938593745700,-1522135.2322543946,9.704660415649414,0.8238534927368164,-1.1450860500335693
1776037938603847000,-1522135.2221530762,9.700552940368652,0.849793553352356,-1.1608195304870605
1776037938613917700,-1522135.2120822754,9.697949409484863,0.8635939359664917,-1.1723369359970093
1776037938624019000,-1522135.201980957,9.695801734924316,0.8729854822158813,-1.1830980777740479
1776037938654170400,-1522135.1718295899,9.691920280456543,0.8754201531410217,-1.212730884552002
1776037938664241200,-1522135.161758789,9.690574645996094,0.8677291870117188,-1.2289007902145386
1776037938674281500,-1522135.151718506,9.690069198608398,0.8324288129806519,-1.2569859027862549
1776037938684382700,-1522135.1416171875,9.69166374206543,0.7817865014076233,-1.2770403623580933
1776037938694423000,-1522135.1315769043,9.69522476196289,0.7025107741355896,-1.2959473133087158
1776037938704493800,-1522135.1215061035,9.70026969909668,0.5927238464355469,-1.312943458557129
1776037938714534100,-1522135.1114658203,9.702751159667969,0.5310559868812561,-1.320983648300171
1776037938724635400,-1522135.101364502,9.7098388671875,0.2953411042690277,-1.3424599170684814
1776037938754817300,-1522135.0711826172,9.705574989318848,-0.1936360001564026,-1.3909353017807007
1776037938764918800,-1522135.0610812989,9.694071769714355,-0.4264547824859619,-1.4189764261245728
1776037938774958800,-1522135.0510412597,9.67439079284668,-0.6779472231864929,-1.4549744129180908
