time,seconds_elapsed,pressure,relativeAltitude
1776037938414415400,-1522135.4115847168,1022.6396484375,0
1776037938513331700,-1522135.312668213,1022.642333984375,-0.0211334228515625
1776037938613917700,-1522135.2120822754,1022.627197265625,0.10569000244140625
1776037938714534100,-1522135.1114658203,1022.656494140625,-0.13739776611328125
1776037938815181000,-1522135.0108188477,1022.63720703125,0.02114105224609375
1776037938915797500,-1522134.9102023926,1022.588134765625,0.42804718017578125
1776037939016536000,-1522134.8094638672,1022.609375,0.253662109375
1776037939117366300,-1522134.708633789,1022.615966796875,0.195526123046875
1776037939218043600,-1522134.6079562989,1022.611328125,0.2378082275390625
1776037939318782200,-1522134.5072177735,1022.65869140625,-0.15325164794921875
1776037939419459600,-1522134.4065405272,1022.625244140625,0.12154388427734375
1776037939520106800,-1522134.3058933106,1022.615478515625,0.20081329345703125
1776037939620753700,-1522134.205246338,1022.623291015625,0.13739776611328125
1776037939721431000,-1522134.1045688477,1022.618408203125,0.1796722412109375
1776037939822139100,-1522134.0038608399,1022.592529296875,0.39105987548828125
1776037939922877700,-1522133.9031223145,1022.602294921875,0.31179046630859375
1776037940023585500,-1522133.8024145507,1022.586181640625,0.44390106201171875
1776037940124232700,-1522133.701767334,1022.584228515625,0.45975494384765625
1776037940224971300,-1522133.6010288086,1022.647705078125,-0.06341552734375
1776037940325587700,-1522133.5004123535,1022.626953125,0.10569000244140625
1776037940426295600,-1522133.3997043457,1022.64013671875,0
1776037940526881500,-1522133.2991184082,1022.63427734375,0.0475616455078125
1776037940627650600,-1522133.1983493653,1022.588623046875,0.42276763916015625
1776037940728419600,-1522133.0975803223,1022.6328125,0.05812835693359375
1776037940829188600,-1522132.9968112793,1022.611328125,0.2378082275390625
1776037940929927200,-1522132.896072754,1022.610107421875,0.24837493896484375
1776037941030665700,-1522132.7953342285,1022.572265625,0.5601654052734375
1776037941131343000,-1522132.6946569823,1022.611572265625,0.23252105712890625
1776037941231990300,-1522132.5940097657,1022.603271484375,0.3012237548828125
1776037941332637200,-1522132.493362793,1022.60595703125,0.28008270263671875
1776037941433375700,-1522132.3926242676,1022.59912109375,0.3382110595703125
1776037941534022700,-1522132.291977295,1022.631591796875,0.06870269775390625
1776037941634578200,-1522132.191421875,1022.639892578125,0
1776037941735103000,-1522132.0908969727,1022.6103515625,0.2430877685546875
1776037941835597300,-1522131.990402588,1022.6064453125,0.2747955322265625
1776037941936244200,-1522131.8897558593,1022.64501953125,-0.04227447509765625
1776037942036830200,-1522131.7891696778,1022.636474609375,0.02642059326171875
1776037942137294000,-1522131.6887058106,1022.59521484375,0.3699188232421875
1776037942237971700,-1522131.5880283203,1022.619873046875,0.16382598876953125
1776037942338588200,-1522131.4874118653,1022.63525390625,0.03699493408203125
1776037942439296000,-1522131.3867041015,1022.59326171875,0.385772705078125
1776037942539882000,-1522131.28611792,1022.571533203125,0.5654449462890625
1776037942640559600,-1522131.1854404297,1022.585205078125,0.45447540283203125
1776037942741206500,-1522131.084793457,1022.60888671875,0.258941650390625
1776037942841914600,-1522130.9840854493,1022.67138671875,-0.258941650390625
1776037942942561500,-1522130.8834384766,1022.62060546875,0.158538818359375
1776037943043116800,-1522130.7828833007,1022.62548828125,0.12154388427734375
1776037943143916500,-1522130.6820834961,1022.62939453125,0.08455657958984375
1776037943244471800,-1522130.5815280762,1022.63525390625,0.03699493408203125
1776037943345149400,-1522130.480850586,1022.628173828125,0.095123291015625
1776037943445674200,-1522130.3803256836,1022.605712890625,0.28008270263671875
1776037943546321200,-1522130.279678955,1022.6142578125,0.2113800048828125
1776037943646876700,-1522130.179123291,1022.60693359375,0.2747955322265625
1776037943747554000,-1522130.0784460448,1022.586181640625,0.44390106201171875
1776037943848292600,-1522129.9777072754,1022.589111328125,0.41748046875
