time,seconds_elapsed,relativeAltitude,pressure
1777560074059885300,0.23388525390625,0,1023.00439453125
1777560074099885600,0.273885498046875,-0.24837493896484375,1023.034423828125
1777560074139885300,0.31388525390625,-0.6605682373046875,1023.084228515625
1777560074179880400,0.35388037109375,-0.9934921264648438,1023.124755859375
1777560074219882200,0.39388232421875,-1.1414642333984375,1023.142578125
1777560074259886800,0.433886962890625,-1.3422775268554688,1023.167236328125
1777560074299881200,0.473881103515625,-1.2630081176757812,1023.1572265625
1777560074339885300,0.51388525390625,-0.6341476440429688,1023.08154296875
1777560074379886300,0.55388623046875,-0.449188232421875,1023.058837890625
1777560074419883500,0.593883544921875,0.1109771728515625,1022.99072265625
1777560074459885000,0.633885009765625,1.0357742309570312,1022.879150390625
1777560074499885300,0.67388525390625,1.4109725952148438,1022.833740234375
1777560074539867100,0.7138671875,1.5536575317382812,1022.81640625
1777560074579885300,0.75388525390625,1.157318115234375,1022.8642578125
1777560074619885600,0.793885498046875,0.6182937622070312,1022.929443359375
1777560074659877600,0.833877685546875,0.29593658447265625,1022.968505859375
1777560074699885600,0.873885498046875,-0.0845489501953125,1023.014892578125
1777560074739885600,0.913885498046875,-0.38048553466796875,1023.050537109375
1777560074779877400,0.95387744140625,-0.3382110595703125,1023.045166015625
1777560074819885000,0.993885009765625,-0.158538818359375,1023.02392578125
1777560074859886600,1.033886474609375,-0.19024658203125,1023.02734375
1777560074899876600,1.073876708984375,-0.23252105712890625,1023.032958984375
1777560074939882800,1.1138828125,-0.359344482421875,1023.0478515625
1777560074979885300,1.15388525390625,-0.41748046875,1023.054931640625
1777560075019886800,1.193886962890625,-0.385772705078125,1023.05126953125
1777560075059882800,1.2338828125,-0.48089599609375,1023.06298828125
1777560075099885600,1.273885498046875,-0.48089599609375,1023.0625
1777560075139886600,1.313886474609375,-0.42804718017578125,1023.056640625
1777560075179880700,1.353880615234375,0.02642059326171875,1023.00146484375
1777560075219989500,1.393989501953125,0.7504043579101562,1022.913330078125
1777560075259885600,1.433885498046875,1.0463409423828125,1022.877685546875
1777560075299922200,1.473922119140625,0.9089431762695312,1022.894775390625
1777560075339885300,1.51388525390625,0.5337371826171875,1022.939697265625
1777560075379885300,1.55388525390625,0.02642059326171875,1023.00146484375
1777560075419876900,1.593876953125,-0.5654449462890625,1023.07275390625
1777560075459885300,1.63388525390625,-1.1097564697265625,1023.138671875
1777560075499885600,1.673885498046875,-1.1097564697265625,1023.138671875
1777560075539877400,1.71387744140625,-1.447967529296875,1023.1796875
1777560075579885300,1.75388525390625,-1.6593475341796875,1023.205078125
1777560075619885300,1.79388525390625,-1.93414306640625,1023.23876953125
1777560075659877000,1.833877197265625,-2.7849578857421875,1023.341796875
1777560075699885300,1.87388525390625,-2.996337890625,1023.3671875
1777560075739885300,1.91388525390625,-3.3028411865234375,1023.404296875
1777560075779886600,1.953886474609375,-3.5670700073242188,1023.4365234375
1777560075819885600,1.993885498046875,-2.83251953125,1023.34716796875
1777560075859885300,2.03388525390625,1.3105697631835938,1022.845703125
1777560075899886600,2.073886474609375,2.3621902465820312,1022.718505859375
1777560075939884300,2.11388427734375,2.8113784790039062,1022.6640625
1777560075979886600,2.153886474609375,2.0081329345703125,1022.761474609375
1777560076019886000,2.193885986328125,1.5695114135742188,1022.814453125
1777560076059884000,2.233884033203125,1.0674819946289062,1022.87548828125
1777560076099886600,2.273886474609375,0.4650421142578125,1022.947998046875
1777560076139885300,2.31388525390625,0.1796722412109375,1022.98291015625
1777560076179880700,2.353880615234375,0.1479644775390625,1022.986328125
1777560076219885300,2.39388525390625,-0.00528717041015625,1023.0048828125
1777560076259885300,2.43388525390625,-0.0158538818359375,1023.00634765625
1777560076299877400,2.47387744140625,-0.31179046630859375,1023.0419921875
1777560076339886300,2.51388623046875,-0.5231704711914062,1023.068115234375
1777560076379885800,2.5538857421875,-0.739837646484375,1023.09423828125
1777560076419877400,2.59387744140625,-0.8613815307617188,1023.10888671875
1777560076459885300,2.63388525390625,-0.6288604736328125,1023.080810546875
1777560076499885600,2.673885498046875,-0.068695068359375,1023.0126953125
1777560076539878400,2.71387841796875,0.930084228515625,1022.89208984375
1777560076579885600,2.753885498046875,0.8825225830078125,1022.897705078125
1777560076619885300,2.79388525390625,0.7979660034179688,1022.90771484375
1777560076659886800,2.833886962890625,0.39633941650390625,1022.956298828125
1777560076700001300,2.874001220703125,-0.0158538818359375,1023.006591796875
1777560076739885000,2.913885009765625,-0.36463165283203125,1023.048828125
1777560076779886800,2.953886962890625,-1.0357666015625,1023.129638671875
1777560076819880700,2.993880615234375,-1.2313003540039062,1023.15380859375
1777560076859885600,3.033885498046875,-1.3739776611328125,1023.1708984375
1777560076899885600,3.073885498046875,-2.2617874145507812,1023.278076171875
1777560076939884300,3.11388427734375,-4.100807189941406,1023.5009765625
1777560076979885000,3.153885009765625,-3.7784500122070312,1023.4619140625
1777560077019886800,3.193886962890625,-3.7784500122070312,1023.4619140625
1777560077059865900,3.233865966796875,-3.8260116577148438,1023.468017578125
1777560077099885600,3.273885498046875,-3.5036544799804688,1023.428466796875
1777560077139886600,3.313886474609375,-0.5231704711914062,1023.068115234375
1777560077179877000,3.353877197265625,1.9394302368164062,1022.76953125
1777560077219885300,3.39388525390625,3.5617828369140625,1022.5732421875
1777560077259885300,3.43388525390625,2.6792678833007812,1022.68017578125
1777560077299877400,3.47387744140625,2.193084716796875,1022.7392578125
1777560077339881700,3.5138818359375,1.7967453002929688,1022.787109375
1777560077379886300,3.55388623046875,1.0727615356445312,1022.87451171875
1777560077419879200,3.593879150390625,0.4333343505859375,1022.951904296875
1777560077459884800,3.633884765625,0.3012237548828125,1022.9677734375
1777560077499885600,3.673885498046875,0.07398223876953125,1022.99560546875
1777560077539886800,3.713886962890625,-0.07398223876953125,1023.013427734375
1777560077579885000,3.753885009765625,-0.31707000732421875,1023.042724609375
1777560077619885300,3.79388525390625,-0.6605682373046875,1023.084716796875
1777560077659886800,3.833886962890625,-0.8508148193359375,1023.107177734375
1777560077699883300,3.87388330078125,-0.7979660034179688,1023.101318359375
1777560077739908600,3.91390869140625,-0.5073165893554688,1023.065673828125
1777560077779885300,3.95388525390625,0.5601654052734375,1022.936767578125
1777560077819881700,3.9938818359375,1.2048797607421875,1022.858642578125
1777560077859885300,4.03388525390625,1.1044692993164062,1022.87060546875
1777560077899883000,4.073883056640625,0.967071533203125,1022.8876953125
1777560077939877600,4.113877685546875,0.60772705078125,1022.930908203125
1777560077979885000,4.153885009765625,0.08983612060546875,1022.993408203125
1777560078019885300,4.19388525390625,-0.6552810668945312,1023.08349609375
1777560078059877400,4.23387744140625,-1.4373931884765625,1023.178466796875
1777560078099885000,4.273885009765625,-1.8971481323242188,1023.234130859375
1777560078139885300,4.31388525390625,-2.2300796508789062,1023.274169921875
1777560078179877000,4.353877197265625,-3.5300750732421875,1023.431640625
1777560078219884000,4.393884033203125,-4.211784362792969,1023.5146484375
1777560078259885000,4.433885009765625,-3.7573089599609375,1023.45947265625
1777560078299886300,4.47388623046875,-4.148368835449219,1023.507080078125
1777560078339866600,4.51386669921875,-3.7044677734375,1023.453125
