time,seconds_elapsed,z,y,x
1776037938434526500,-1522135.3914736328,-7.679999828338623,-4.980000019073486,-6.539999961853027
1776037938444197000,-1522135.3818029785,-7.079999923706055,-4.559999942779541,-2.3399999141693115
1776037938453868000,-1522135.3721320801,-6.420000076293945,-4.319999694824219,2.0399999618530273
1776037938483280400,-1522135.3427197265,-7.679999828338623,-3.7200000286102295,3.419999837875366
1776037938493251000,-1522135.3327490233,-8.399999618530273,-3.6599998474121094,3.419999837875366
1776037938513331700,-1522135.312668213,-8.699999809265137,-4.739999771118164,3.359999895095825
1776037938543574800,-1522135.282425293,-8.639999389648438,-3.7200000286102295,3.119999885559082
1776037938553554000,-1522135.272446045,-8.579999923706055,-3.9599997997283936,2.819999933242798
1776037938563655200,-1522135.2623447266,-8.34000015258789,-4.079999923706055,2.879999876022339
1776037938573665000,-1522135.252334961,-7.37999963760376,-3.419999837875366,2.819999933242798
1776037938583735800,-1522135.2422641602,-6.359999656677246,-3.5399999618530273,2.700000047683716
1776037938593745700,-1522135.2322543946,-5.519999980926514,-3.419999837875366,2.4600000381469727
1776037938603847000,-1522135.2221530762,-4.679999828338623,-3.5999999046325684,2.3399999141693115
1776037938613917700,-1522135.2120822754,-4.440000057220459,-4.440000057220459,2.0399999618530273
1776037938654170400,-1522135.1718295899,-4.739999771118164,-4.199999809265137,3.119999885559082
1776037938664241200,-1522135.161758789,-4.920000076293945,-4.319999694824219,2.5799999237060547
1776037938674281500,-1522135.151718506,-5.87999963760376,-4.980000019073486,2.3399999141693115
1776037938684382700,-1522135.1416171875,-6.539999961853027,-5.21999979019165,2.879999876022339
1776037938694423000,-1522135.1315769043,-6.839999675750732,-5.759999752044678,1.9199999570846558
1776037938704493800,-1522135.1215061035,-7.37999963760376,-5.940000057220459,1.9799998998641968
1776037938714534100,-1522135.1114658203,-8.220000267028809,-5.639999866485596,2.2200000286102295
1776037938724635400,-1522135.101364502,-8.639999389648438,-5.21999979019165,2.2200000286102295
1776037938754817300,-1522135.0711826172,-9.359999656677246,-4.739999771118164,3.299999952316284
