time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1776037938414415400,-1522135.4115847168,1.8769749402999878,-0.2387087047100067,-0.08282999694347382,-0.799140989780426,0.04498091712594032,0.08836600184440613,0.5888149738311768
1776037938424516600,-1522135.4014833984,1.9228185415267944,-0.07947995513677597,-0.0024850000627338886,-0.8170250058174133,0.10512804239988327,0.06575699895620346,0.5728340148925781
1776037938444197000,-1522135.3818029785,2.1158950328826904,-0.07731689512729645,-0.008162000216543674,-0.8685380220413208,0.10394040495157242,0.06416799873113632,0.4913809895515442
1776037938453868000,-1522135.3721320801,2.491271734237671,-0.0764954537153244,-0.01956699974834919,-0.9449859857559204,0.10416477173566818,0.061494000256061554,0.32067999243736267
1776037938483280400,-1522135.3427197265,-2.680365800857544,-0.08127152919769287,0.050707001239061356,0.9720060229301453,0.09816711395978928,-0.038451001048088074,0.22617000341415405
1776037938493251000,-1522135.3327490233,-2.4228808879852295,-0.08357137441635132,0.056085001677274704,0.934918999671936,0.09695004671812057,-0.03064800053834915,0.3490560054779053
1776037938513331700,-1522135.312668213,-2.4433891773223877,-0.09385368973016739,0.06026099994778633,0.9383479952812195,0.09504169225692749,-0.028560999780893326,0.3391970098018646
1776037938543574800,-1522135.282425293,-2.6151509284973145,-0.11237145215272903,0.06569799780845642,0.9637309908866882,0.08879147469997406,-0.02818799950182438,0.25711798667907715
1776037938553554000,-1522135.272446045,-2.4178287982940674,-0.11458288878202438,0.06863900274038315,0.9337090253829956,0.08567586541175842,-0.019732000306248665,0.35083600878715515
1776037938563655200,-1522135.2623447266,-2.5166409015655518,-0.11675886064767838,0.06820300221443176,0.9498800039291382,0.08298372477293015,-0.021483000367879868,0.3043240010738373
1776037938573665000,-1522135.252334961,-2.5156309604644775,-0.11721021682024002,0.06792300194501877,0.9497510194778442,0.07967185974121094,-0.019805999472737312,0.3049040138721466
1776037938583735800,-1522135.2422641602,-2.4064838886260986,-0.1201774924993515,0.06968799978494644,0.9316689968109131,0.0763368085026741,-0.013983000069856644,0.3562850058078766
1776037938593745700,-1522135.2322543946,-2.452435255050659,-0.1252991259098053,0.07141800224781036,0.9395080208778381,0.07435101270675659,-0.013779000379145145,0.33471399545669556
1776037938603847000,-1522135.2221530762,-2.4841442108154297,-0.1312282383441925,0.07398899644613266,0.9445520043373108,0.07436708360910416,-0.013956000097095966,0.3196110129356384
1776037938613917700,-1522135.2120822754,-2.543142080307007,-0.13702718913555145,0.07646200060844421,0.9534059762954712,0.07544093579053879,-0.01578499935567379,0.29141199588775635
1776037938654170400,-1522135.1718295899,-2.6022987365722656,-0.14640015363693237,0.0826139971613884,0.9611639976501465,0.0918445885181427,-0.024667000398039818,0.262160986661911
1776037938664241200,-1522135.161758789,-2.485262155532837,-0.1458328366279602,0.0847179964184761,0.944130003452301,0.09857848286628723,-0.02306400053203106,0.31766200065612793
1776037938674281500,-1522135.151718506,-2.615316152572632,-0.14670537412166595,0.08443199843168259,0.9626359939575195,0.10619291663169861,-0.03207100182771683,0.2552909851074219
1776037938684382700,-1522135.1416171875,-2.7492947578430176,-0.1512371450662613,0.08504500240087509,0.9772719740867615,0.1139601469039917,-0.04099800065159798,0.18980099260807037
1776037938694423000,-1522135.1315769043,-2.6748647689819336,-0.1532343029975891,0.08820900321006775,0.9693459868431091,0.1204376295208931,-0.04071100056171417,0.22567300498485565
1776037938704493800,-1522135.1215061035,-2.9154293537139893,-0.1589956134557724,0.08577500283718109,0.9891020059585571,0.12493372708559036,-0.05288799852132797,0.10733900219202042
1776037938714534100,-1522135.1114658203,-2.920691728591919,-0.16995055973529816,0.09116999804973602,0.9889100193977356,0.12728160619735718,-0.05364599823951721,0.10424099862575531
1776037938724635400,-1522135.101364502,-2.9198412895202637,-0.1523936688899994,0.08252499997615814,0.9895020127296448,0.12739259004592896,-0.054673001170158386,0.10528799891471863
1776037938754817300,-1522135.0711826172,-2.821897506713867,-0.0952521562576294,0.05708799883723259,0.9845920205116272,0.12819041311740875,-0.05560100078582764,0.15565000474452972
1776037938764918800,-1522135.0610812989,-2.77058744430542,-0.07138484716415405,0.04689899832010269,0.9805930256843567,0.12920573353767395,-0.05684199929237366,0.18167400360107422
1776037938774958800,-1522135.0510412597,-2.7890284061431885,-0.04554089158773422,0.03383700177073479,0.9824000000953674,0.13092921674251556,-0.0604030005633831,0.1734829992055893
1776037938785029600,-1522135.0409704589,-2.759700298309326,-0.01769915223121643,0.02132599987089634,0.9797120094299316,0.13348183035850525,-0.06380099803209305,0.18877799808979034
1776037938795070000,-1522135.0309299317,-2.79799747467041,0.01210531871765852,0.005745000205934048,0.982882022857666,0.1369248926639557,-0.0684330016374588,0.1709579974412918
1776037938805140700,-1522135.020859375,-2.881723165512085,0.046931371092796326,-0.014023999683558941,0.9885870218276978,0.14190788567066193,-0.0733100026845932,0.13085700571537018
1776037938815181000,-1522135.0108188477,-2.99432635307312,0.0770995244383812,-0.032937999814748764,0.9936540126800537,0.14688904583454132,-0.07595299929380417,0.07613400369882584
1776037938855433700,-1522134.9705661621,3.055891752243042,0.228977233171463,0.11752700060606003,-0.9888839721679688,0.18187806010246277,0.08526299893856049,0.032016001641750336
1776037938875544800,-1522134.9504550782,3.044264793395996,0.313066303730011,0.15988700091838837,-0.9819700121879578,0.20989707112312317,0.09581100195646286,0.031474001705646515
1776037938885646000,-1522134.9403540038,2.9502310752868652,0.3602830469608307,0.18793299794197083,-0.9748439788818359,0.2293623983860016,0.09505899995565414,0.07296299934387207
1776037938895686400,-1522134.9303137206,2.9509048461914062,0.40304747223854065,0.20934000611305237,-0.9700589776039124,0.2503621280193329,0.10286600142717361,0.06766500324010849
1776037938905757200,-1522134.9202429198,2.9992337226867676,0.44528889656066895,0.22767600417137146,-0.9658269882202148,0.2748219668865204,0.11770399659872055,0.03853999823331833
1776037938915797500,-1522134.9102023926,2.9711217880249023,0.4865446388721466,0.2497200071811676,-0.9590669870376587,0.3027210831642151,0.12554000318050385,0.04549200087785721
1776037938925899000,-1522134.9001010743,3.029078960418701,0.5300536751747131,0.2669200003147125,-0.9523429870605469,0.33751800656318665,0.1473200023174286,0.009568000212311745
1776037938935969800,-1522134.8900302735,3.049520969390869,0.5634921789169312,-0.2811329960823059,0.9455739855766296,0.3694985508918762,-0.16369299590587616,0.007567999884486198
1776037938946071000,-1522134.879928955,2.968569755554199,0.597575843334198,0.3039180040359497,-0.9374589920043945,0.40882620215415955,0.16836899518966675,0.02132599987089634
1776037938966212600,-1522134.8597873535,2.9137470722198486,0.6561160683631897,0.33683401346206665,-0.9199979901313782,0.50361168384552,0.19886499643325806,0.024461999535560608
1776037938996425000,-1522134.8295749512,2.570049285888672,0.698857307434082,0.39633598923683167,-0.8844329714775085,0.6566276550292969,0.1993190050125122,0.14479799568653107
1776037939006495700,-1522134.8195041504,2.4308011531829834,0.7012385725975037,0.41614800691604614,-0.8664860129356384,0.7164182066917419,0.19675999879837036,0.19314999878406525
1776037939016536000,-1522134.8094638672,2.224384069442749,0.6967185735702515,0.4392009973526001,-0.8383539915084839,0.7644709348678589,0.17415399849414825,0.2719070017337799
1776037939026606800,-1522134.7993930664,2.1407182216644287,0.6818944215774536,0.45017001032829285,-0.8217589855194092,0.8257981538772583,0.18483999371528625,0.29646599292755127
1776037939036677600,-1522134.7893222657,2.08182954788208,0.6645699739456177,0.4564239978790283,-0.8092920184135437,0.8688790202140808,0.1937589943408966,0.31492701172828674
1776037939046779000,-1522134.7792211913,1.9985380172729492,0.63917475938797,0.46353399753570557,-0.7916470170021057,0.9128814339637756,0.19939400255680084,0.3444870114326477
1776037939077022000,-1522134.7489780274,1.7748771905899048,0.5259029269218445,0.47235599160194397,-0.7342439889907837,1.0144753456115723,0.22028599679470062,0.435014009475708
1776037939087123200,-1522134.738876709,1.7501180171966553,0.47641125321388245,0.46563899517059326,-0.7229999899864197,1.0354688167572021,0.23774200677871704,0.45158401131629944
