time,seconds_elapsed,steps
1774790018923753700,-11.195246337890625,0
1774790037902463200,7.783463134765625,5
1774790038550913800,8.431913818359375,7
1774790039143542000,9.0245419921875,8
1774790039736491500,9.617491455078126,8
1774790040384954600,10.26595458984375,10
1774790041033459200,10.914459228515625,10
1774790041681859000,11.562859130859374,12
1774790042274487000,12.155487060546875,12
1774790042914055000,12.795054931640625,13
1774790043552951000,13.433950927734376,14
1774790044192704500,14.07370458984375,15
1774790044812605400,14.69360546875,16
1774790045442660900,15.323660888671874,17
1774790046072570600,15.953570556640624,18
1774790046702441500,16.58344140625,19
1774790047332315600,17.213315673828124,20
1774790047943669500,17.82466943359375,22
1774790048573389800,18.454389892578124,22
1774790049203438600,19.0844384765625,23
1774790049814621700,19.69562158203125,24
1774790050463043600,20.344043701171874,26
1774790051111470600,20.992470703125,26
1774790051759942400,21.6409423828125,28
1774790052389767200,22.27076708984375,28
1774790053019873300,22.900873291015625,30
1774790053649826600,23.53082666015625,30
1774790054299471000,24.18047119140625,32
1774790054946387500,24.827387451171877,32
1774790055632037600,25.51303759765625,34
1774790056261721600,26.1427216796875,34
