time,seconds_elapsed,magneticBearing
1774790030273079600,0.15407958984375,315.93725322622265
1774790030293079600,0.17407958984375,316.7846048411702
1774790030323079400,0.204079345703125,317.21508747413577
1774790030343079400,0.224079345703125,317.8467485974894
1774790030353079600,0.23407958984375,318.38366055233996
1774790030363079400,0.244079345703125,319.45765708482804
1774790030373079600,0.25407958984375,319.28869581808203
1774790030383079400,0.264079345703125,319.4737749125892
1774790030393079600,0.27407958984375,319.3492849374841
1774790030403079400,0.284079345703125,319.54587814912736
1774790030413079600,0.29407958984375,319.89712951534443
1774790030423079400,0.304079345703125,319.7746807437786
1774790030433079600,0.31407958984375,320.15461320535564
1774790030443079400,0.324079345703125,320.12924944761676
1774790030453079600,0.33407958984375,319.8562862414044
1774790030463079400,0.344079345703125,319.8011800310553
1774790030473079600,0.35407958984375,319.26302311382506
1774790030483079400,0.364079345703125,318.95724352828483
1774790030493079600,0.37407958984375,318.76994504456786
1774790030503079400,0.384079345703125,318.80827295912445
1774790030513079600,0.39407958984375,318.87047239755293
1774790030523079400,0.404079345703125,318.7700703976386
1774790030533079600,0.41407958984375,318.7693793068456
1774790030543079400,0.424079345703125,319.1326877671004
1774790030553079600,0.43407958984375,319.71428312786725
1774790030563079400,0.444079345703125,319.9142984214402
1774790030573079600,0.45407958984375,320.39387877572517
1774790030583079400,0.464079345703125,320.9223139906521
1774790030593079600,0.47407958984375,320.98957944911217
1774790030603079400,0.484079345703125,320.42839505053803
1774790030613079600,0.49407958984375,320.6362314015139
1774790030623079400,0.504079345703125,320.4317252139358
1774790030633079600,0.51407958984375,320.22444215924895
1774790030643079400,0.524079345703125,320.56400928423454
1774790030653079600,0.53407958984375,320.76256049047174
1774790030663079400,0.544079345703125,320.9282062381592
1774790030673079600,0.55407958984375,320.9096514157625
1774790030683079400,0.564079345703125,320.81297526117146
1774790030693079600,0.57407958984375,320.73287487522884
1774790030703079400,0.584079345703125,320.6135203642216
1774790030713079600,0.59407958984375,320.7203155671874
1774790030723079400,0.604079345703125,320.7804496757316
1774790030733079600,0.61407958984375,320.7892581093744
1774790030743079400,0.624079345703125,320.607108573548
1774790030753079600,0.63407958984375,320.78036179773767
