time,seconds_elapsed,x,y,z
1774790030288921900,0.169921875,0.01437948072349732,-0.007532669865263326,9.806986565169693
1774790030316709600,0.197709716796875,0.023659077302704647,-0.028119704205493336,9.806931147423061
1774790030335234800,0.21623486328125,0.028216874900136524,-0.05916961153829818,9.806780907364113
1774790030353760000,0.234760009765625,0.052373212321773895,-0.027126630049560948,9.806822634909498
1774790030372285200,0.25328515625,0.052373212321773895,-0.027126630049560948,9.806822634909498
1774790030390810400,0.271810302734375,0.05712101398859822,-0.008925241451639126,9.806829586050018
1774790030409335800,0.290335693359375,0.06507958069274511,0.004368480645934469,9.806783089502577
1774790030427861000,0.308861083984375,0.0699209363764344,0.017934793447924962,9.806734339515893
1774790030446386200,0.32738623046875,0.0793086966734438,0.03174360604520006,9.806627935947565
1774790030464911400,0.345911376953125,0.10713870398654773,0.0439493250710233,9.806316268351429
1774790030483436500,0.3644365234375,0.16362871654269942,0.06484975234483924,9.8054203965329
1774790030501961700,0.382961669921875,0.2314390162092442,0.09806353297113644,9.803778278055727
1774790030520487000,0.40148681640625,0.3486448361888407,0.17181356307439483,9.799294662257205
1774790030539012000,0.42001220703125,0.3486448361888407,0.17181356307439483,9.799294662257205
1774790030557537300,0.438537353515625,0.3970640244367198,0.20616361731581712,9.79678956206539
1774790030576062500,0.4570625,0.4403307711235729,0.24351969819976482,9.794082701743458
1774790030594587600,0.475587646484375,0.4638108921009371,0.28124707066845317,9.79198797699471
1774790030613113000,0.494113037109375,0.487184113081601,0.3065991604408848,9.790091807270137
1774790030631638300,0.51263818359375,0.5138154519071317,0.3153745483896527,9.788451439099521
1774790030650163500,0.53116357421875,0.540045576588495,0.31684752257118953,9.786991745303952
1774790030668688600,0.549688720703125,0.5563536556100974,0.3292258099644594,9.785669623277833
1774790030687213800,0.5682138671875,0.57926696107349,0.3616369321410317,9.78319566998025
1774790030705739000,0.586739013671875,0.5890007304410385,0.42213264236853354,9.780190753343561
1774790030724264200,0.60526416015625,0.5726134660530618,0.4301641353720009,9.780813955654937
1774790030742789400,0.623789306640625,0.5021164746158375,0.3936720061918268,9.786222478436727
1774790030761314600,0.642314453125,0.34923199559989804,0.31678618110933887,9.795658861388931
1774790030779839700,0.66083984375,0.2737839585815788,0.24455709306102158,9.800126691643172
1774790030798365200,0.679365234375,0.2407389569129041,0.21936124646438862,9.801590401469248
