time,seconds_elapsed,z,y,x
1774790030242609000,0.12360888671875,-0.15286891162395477,0.02932151034474373,0.005803215317428112
1774790030270396700,0.151396728515625,-0.07773254066705704,-0.04886918142437935,0.06444623321294785
1774790030288921900,0.169921875,-0.07101303339004517,-0.050090912729501724,-0.019242240116000175
1774790030316709600,0.197709716796875,-0.03497200831770897,-0.01588248461484909,-0.019853105768561363
1774790030335234800,0.21623486328125,-0.052687086164951324,-0.0616973415017128,-0.015577051788568497
1774790030353760000,0.234760009765625,-0.08628465235233307,-0.05864302068948746,-0.008246674202382565
1774790030372285200,0.25328515625,-0.0948367565870285,-0.023212861269712448,-0.000305432389723137
1774790030390810400,0.271810302734375,-0.06368265300989151,-0.0409279391169548,-0.02718348242342472
1774790030409335800,0.290335693359375,-0.028863361105322838,-0.020769402384757996,-0.025350889191031456
1774790030427861000,0.308861083984375,-0.04657844081521034,-0.04520399495959282,-0.02412915788590908
1774790030446386200,0.32738623046875,-0.13271036744117737,-0.14782927930355072,-0.03390299528837204
1774790030464911400,0.345911376953125,-0.24144430458545685,-0.30604326725006104,0.011911863461136818
1774790030483436500,0.3644365234375,-0.2860374450683594,-0.3695732057094574,0.0772743970155716
1774790030501961700,0.382961669921875,-0.2848156988620758,-0.3610210716724396,0.09804379940032959
1774790030520487000,0.40148681640625,-0.2591593861579895,-0.287106454372406,0.09193515032529831
1774790030539012000,0.42001220703125,-0.17424917221069336,-0.2767217457294464,0.08277218043804169
1774790030557537300,0.438537353515625,-0.09972367435693741,-0.2467893660068512,0.10170898586511612
1774790030576062500,0.4570625,-0.10888664424419403,-0.1288924664258957,0.1029307171702385
1774790030594587600,0.475587646484375,-0.1101083755493164,-0.12705987691879272,0.03451386094093323
1774790030613113000,0.494113037109375,-0.10644318908452988,-0.1496618688106537,-0.05711585655808449
1774790030631638300,0.51263818359375,-0.1357647031545639,-0.1484401375055313,-0.09926552325487137
1774790030650163500,0.53116357421875,-0.10705405473709106,-0.10079269111156464,-0.03756818547844887
1774790030668688600,0.549688720703125,-0.06795870512723923,-0.13255766034126282,0.07483093440532684
1774790030696476400,0.577476318359375,0.0102319847792387,-0.0360410213470459,0.1230892539024353
1774790030715001600,0.596001708984375,-0.012980876490473747,0.08918625861406326,-0.0565049909055233
1774790030733526800,0.61452685546875,-0.01359174121171236,0.3995055556297302,-0.30146175622940063
1774790030752052000,0.633052001953125,0.08597921580076218,0.8448259830474854,-0.5201513767242432
1774790030770577200,0.6515771484375,0.053603384643793106,0.4269944727420807,-0.49571678042411804
1774790030789102600,0.6701025390625,0.04016435891389847,0.19120067358016968,-0.23732095956802368
1774790030807627800,0.688627685546875,0.0798705667257309,0.3952295184135437,-0.04367683082818985
1774790030826153000,0.707153076171875,0.028557928279042244,0.6811142563819885,0.0772743970155716
1774790030844678100,0.72567822265625,-0.07406735420227051,0.554665207862854,0.37843072414398193
1774790030863203300,0.744203369140625,-0.11377356201410294,0.6114756464958191,0.5561923980712891
1774790030881728500,0.762728515625,-0.17547090351581573,0.8350521326065063,0.528092622756958
1774790030900253700,0.781253662109375,-0.19013166427612305,0.7666352987289429,0.29413139820098877
1774790030918779100,0.799779052734375,-0.15958842635154724,0.730594277381897,0.0021380267571657896
1774790030937304300,0.81830419921875,-0.21517711877822876,0.627968966960907,-0.019853105768561363
1774790030955829500,0.83682958984375,-0.16386447846889496,0.2657261788845062,0.22266021370887756
1774790030974354700,0.855354736328125,-0.11438442766666412,-0.13927717506885529,0.38759371638298035
1774790030992879900,0.8738798828125,-0.0642935186624527,0.025045456364750862,0.3344484567642212
1774790031011405000,0.892405029296875,-0.05085449293255806,0.3090975880622864,0.17195843160152435
1774790031029930500,0.910930419921875,0.05177079141139984,0.8839213252067566,0.06750056147575378
1774790031048455700,0.92945556640625,0.06154462695121765,0.9743293523788452,0.1285870373249054
1774790031076243500,0.957243408203125,0.2441931962966919,0.5076286196708679,0.21166464686393738
1774790031094768600,0.9757685546875,0.24785839021205902,0.2315177470445633,0.24709481000900269
1774790031113293800,0.9942939453125,0.05849030241370201,-0.24740023910999298,0.03634645417332649
1774790031131819000,1.012819091796875,0.024281874299049377,-0.16004657745361328,-0.29901832342147827
