time,seconds_elapsed,qw,qx,qy,qz,roll,pitch,yaw
1774790030270396700,0.151396728515625,0.9999983514760515,-0.0003852300732791815,-0.0007325019170877837,-0.0016161942678896931,-0.0014662471577301952,0.000768092046814663,0.003231827943506384
1774790030288921900,0.169921875,0.9999983514760515,-0.0003852300732791815,-0.0007325019170877837,-0.0016161942678896931,-0.0014662471577301952,0.000768092046814663,0.003231827943506384
1774790030316709600,0.197709716796875,0.9999881708788331,-0.0030217847979995115,-0.0014279473438232513,-0.00353382023079962,-0.0028772217632263538,0.006033467466747089,0.007059014801508311
1774790030335234800,0.21623486328125,0.9999872452264812,-0.002244228281384742,-0.002075906332691711,-0.004020377677808611,-0.004169817084210667,0.004471761237826117,0.008031491349373313
1774790030353760000,0.234760009765625,0.9999838444438339,-0.0013958943608513709,-0.002663505043361241,-0.004823698907208829,-0.005340416158899638,0.0027660906977845577,0.00964009278799143
1774790030372285200,0.25328515625,0.9999838444438339,-0.0013958943608513709,-0.002663505043361241,-0.004823698907208829,-0.005340416158899638,0.0027660906977845577,0.00964009278799143
1774790030390810400,0.271810302734375,0.9999793968238064,-0.00047164605405679316,-0.0029096276903548173,-0.005702415681048072,-0.00582454746252389,0.0009101044235647096,0.011402292237539316
1774790030409335800,0.290335693359375,0.9999746373552517,0.00020182205997678612,-0.003319372035545375,-0.006298069813719419,-0.006636082222203677,-0.00044545497918318616,0.012597770596801509
1774790030427861000,0.308861083984375,0.9999659506256797,0.0015900494394494842,-0.004054756847313232,-0.007009156794497208,-0.008087035907699928,-0.0032369429517201723,0.014031650057866423
1774790030446386200,0.32738623046875,0.9999485202873224,0.0021955971669753264,-0.00548075919156226,-0.008252115302083599,-0.010924934766860685,-0.004481706444813561,0.016529187066384867
1774790030464911400,0.345911376953125,0.9999045626608764,0.003218614979840757,-0.00837705238160369,-0.010503860288905605,-0.01668566426761012,-0.006613567213433831,0.021064130280878404
1774790030483436500,0.3644365234375,0.9998311304214393,0.004844217375229395,-0.01186548779946448,-0.013170208710906878,-0.0236015605342486,-0.010002292981794633,0.02646138402640308
1774790030501961700,0.382961669921875,0.9998311304214393,0.004844217375229395,-0.01186548779946448,-0.013170208710906878,-0.0236015605342486,-0.010002292981794633,0.02646138402640308
1774790030520487000,0.40148681640625,0.9996369003072756,0.008435398968950476,-0.01793579980296166,-0.018254278230714592,-0.0355581030772258,-0.017531461825768927,0.03682949239363662
1774790030539012000,0.42001220703125,0.9996369003072756,0.008435398968950476,-0.01793579980296166,-0.018254278230714592,-0.0355581030772258,-0.017531461825768927,0.03682949239363662
1774790030557537300,0.438537353515625,0.9994530900062045,0.011948486101553796,-0.022711431004744893,-0.02085534604477577,-0.04491473998213017,-0.024858839932276573,0.042285847700158224
1774790030576062500,0.4570625,0.9993777129421914,0.01382331721990002,-0.023964322382118722,-0.021881819582444128,-0.04731150892711452,-0.028714268251489896,0.044463324811850474
1774790030594587600,0.475587646484375,0.9993054505335159,0.015063803987571825,-0.02520176493508147,-0.022947099764184308,-0.04969763603266293,-0.031307059291846955,0.046696194822615104
1774790030613113000,0.494113037109375,0.9992387492520942,0.015452581208540069,-0.026587542129799285,-0.02400504802327586,-0.0524167240866153,-0.03220790251174781,0.048881814537074575
1774790030631638300,0.51263818359375,0.9992387492520942,0.015452581208540069,-0.026587542129799285,-0.02400504802327586,-0.0524167240866153,-0.03220790251174781,0.048881814537074575
1774790030650163500,0.53116357421875,0.9991684498305201,0.015458679627533615,-0.027948701258893247,-0.025343799742541355,-0.05509522687839483,-0.032363049295140625,0.05161073671114592
1774790030668688600,0.549688720703125,0.9991073803695508,0.016038879442130064,-0.028814268716079134,-0.026399521883776086,-0.056760733101585685,-0.033630981877671,0.05378872760552878
1774790030687213800,0.5682138671875,0.9989529369495666,0.02071855716650408,-0.030619989874360667,-0.026947863901754302,-0.060095381339565324,-0.04313523192690392,0.055235842893573854
1774790030705739000,0.586739013671875,0.9989529369495666,0.02071855716650408,-0.030619989874360667,-0.026947863901754302,-0.060095381339565324,-0.04313523192690392,0.055235842893573854
1774790030724264200,0.60526416015625,0.9989644069771336,0.02114550066769163,-0.029798269269023646,-0.027111704905945715,-0.05842146669686975,-0.043952078705806474,0.05555074473483284
1774790030752052000,0.633052001953125,0.9993595967274527,0.01567793054418529,-0.018232361422272626,-0.026498677694602978,-0.03561801247143932,-0.032328179142960094,0.05359473739137935
1774790030770577200,0.6515771484375,0.9993595967274527,0.01567793054418529,-0.018232361422272626,-0.026498677694602978,-0.03561801247143932,-0.032328179142960094,0.05359473739137935
1774790030789102600,0.6701025390625,0.9994851672181929,0.012102598109641819,-0.014281309834380194,-0.026057087696671127,-0.027920825351701355,-0.0249493048075517,0.05247755447937476
1774790030807627800,0.688627685546875,0.9995815136546985,0.011466132549831339,-0.008999654918037427,-0.024986627933508095,-0.017419658364846043,-0.02337808631274345,0.05018740218306305
1774790030826153000,0.707153076171875,0.9996039626378233,0.013257672233378608,-0.0028058291121792686,-0.024663319498939525,-0.004955499667820143,-0.026646725958660473,0.04940220019777359
