time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1774790028887290600,-1.23170947265625,0.6270930767059326,-0.2509874999523163,-0.10901699960231781,-0.31404998898506165,-0.14958280324935913,0.09586399793624878,0.9382410049438477
1774790028897261300,-1.22173876953125,1.2575286626815796,-0.20970392227172852,0.037425000220537186,-0.57014399766922,0.24558833241462708,0.1556510031223297,0.8057950139045715
1774790028907132200,-1.211867919921875,0.5865998268127441,-0.21176642179489136,0.08630699664354324,-0.2729319930076599,0.24565908312797546,0.13563400506973267,0.9485049843788147
1774790028917033500,-1.201966552734375,0.10422171652317047,-0.21533401310443878,0.1153779998421669,-0.038329001516103745,0.24421271681785583,0.11282200366258621,0.9861479997634888
1774790028927104300,-1.191895751953125,-0.31412944197654724,-0.21983100473880768,0.13673000037670135,0.1675260066986084,0.24446256458759308,0.08857899904251099,0.9723129868507385
1774790028937175000,-1.181824951171875,-0.31612247228622437,-0.22273807227611542,0.13693100214004517,0.16863499581813812,0.24427010118961334,0.08987800031900406,0.9719740152359009
1774790028947245800,-1.171754150390625,-0.31394097208976746,-0.2246449589729309,0.13710199296474457,0.16768500208854675,0.24454735219478607,0.09093499928712845,0.9720150232315063
1774790028967417900,-1.15158203125,-0.3416960537433624,-0.22657719254493713,0.1385039985179901,0.18125499784946442,0.24455653131008148,0.08996400237083435,0.9694679975509644
1774790028977488600,-1.141511474609375,-0.3418378233909607,-0.22564789652824402,0.138264998793602,0.18126100301742554,0.24419820308685303,0.08953399956226349,0.9695410132408142
1774790028987529000,-1.131470947265625,-0.3238353431224823,-0.22400787472724915,0.13746899366378784,0.17245599627494812,0.24447572231292725,0.08995100110769272,0.9712200164794922
1774790029027781600,-1.09121826171875,-0.33049556612968445,-0.22470849752426147,0.14049799740314484,0.17597199976444244,0.24999532103538513,0.08934900164604187,0.9702110290527344
1774790029047892700,-1.071107177734375,-0.32489922642707825,-0.22925487160682678,0.1396069973707199,0.17340099811553955,0.24799375236034393,0.09213200211524963,0.9705420136451721
1774790029088176000,-1.030823974609375,-0.29422006011009216,-0.22491329908370972,0.13791200518608093,0.15826700627803802,0.24803143739700317,0.09213799983263016,0.9733660221099854
1774790029098247000,-1.020753173828125,-0.3052808940410614,-0.22101877629756927,0.13838499784469604,0.1634649932384491,0.24850653111934662,0.08943299949169159,0.9726920127868652
1774790029118327300,-1.000672607421875,-0.3079174757003784,-0.21858654916286469,0.13836300373077393,0.1646219938993454,0.24856361746788025,0.0880580022931099,0.9726250171661377
1774790029128367600,-0.99063232421875,-0.3096032738685608,-0.22070299088954926,0.13830099999904633,0.16552700102329254,0.24798160791397095,0.08902300149202347,0.9723920226097107
1774790029138438400,-0.9805615234375,-0.32484710216522217,-0.22678619623184204,0.13899299502372742,0.17320799827575684,0.2471039742231369,0.0910089984536171,0.9707710146903992
1774790029148478700,-0.970521240234375,-0.3148617446422577,-0.23196974396705627,0.13823899626731873,0.16856199502944946,0.24574019014835358,0.09434600174427032,0.9713780283927917
1774790029158549500,-0.960450439453125,-0.31013280153274536,-0.23537005484104156,0.13818100094795227,0.1664319932460785,0.24559727311134338,0.0963440015912056,0.9715570211410522
1774790029168620300,-0.950379638671875,-0.3148288130760193,-0.23815742135047913,0.13795800507068634,0.16878999769687653,0.2442702203989029,0.09749100357294083,0.9710670113563538
1774790029178721800,-0.9402783203125,-0.2969669997692108,-0.2377416342496872,0.13747400045394897,0.1601320058107376,0.24513308703899384,0.09844700247049332,0.9725049734115601
1774790029188792600,-0.93020751953125,-0.3064540922641754,-0.23783013224601746,0.13861200213432312,0.1648149937391281,0.24650484323501587,0.09772399812936783,0.9716330170631409
1774790029198863400,-0.92013671875,-0.3067522346973419,-0.23723335564136505,0.1386449933052063,0.16493499279022217,0.24662663042545319,0.09740199893712997,0.9716410040855408
