time,seconds_elapsed,steps
1777561068316728000,-25.97327197265625,0
1777561098815039500,4.52503955078125,6
1777561099370868500,5.080868408203125,7
1777561099983805400,5.693805419921875,8
1777561100556726500,6.2667265625,9
1777561101168174600,6.878174560546875,10
1777561101744003000,7.454003173828125,11
1777561102409549800,8.1195498046875,12
1777561103021025800,8.73102587890625,13
1777561103688292900,9.39829296875,14
1777561104336622000,10.0466220703125,15
1777561104948284000,10.658283935546875,16
1777561105448524500,11.158524658203126,17
1777561106041223200,11.75122314453125,18
1777561106615836200,12.325836181640625,19
1777561107245644500,12.95564453125,20
1777561107764576000,13.474575927734374,21
1777561108414255600,14.124255615234375,22
1777561108968903200,14.678903076171874,23
1777561109617527300,15.32752734375,24
1777561110247329500,15.95732958984375,25
1777561110877329000,16.587328857421873,26
1777561111525864200,17.2358642578125,27
1777561112194297300,17.90429736328125,28
1777561112748904000,18.458904052734376,29
1777561113286120400,18.996120361328124,30
1777561113824119300,19.534119384765624,31
1777561114416552000,20.126552001953126,32
1777561114973766700,20.6837666015625,33
1777561115584127500,21.29412744140625,34
1777561116139761200,21.84976123046875,35
1777561116769680600,22.4796806640625,36
1777561117325588500,23.03558837890625,37
1777561117974162400,23.684162353515624,38
1777561118585499100,24.2954990234375,39
1777561119271130000,24.981130126953126,40
1777561119660557000,25.37055712890625,41
1777561119901276400,25.6112763671875,42
1777561120456990200,26.166990234375,43
1777561120874505700,26.584505615234374,44
1777561121124380200,26.834380126953125,45
1777561121624449000,27.334448974609376,46
1777561122180500700,27.890500732421874,47
1777561122793086500,28.50308642578125,48
1777561123329158700,29.03915869140625,49
1777561123904070100,29.614070068359375,50
1777561124441076700,30.15107666015625,51
1777561125034098400,30.744098388671876,52
1777561125571283000,31.281282958984374,53
1777561126184017000,31.894016845703124,54
1777561126814071000,32.524071044921875,55
1777561127498515200,33.20851513671875,56
1777561128128369200,33.838369140625,57
1777561128814150400,34.524150390625,58
1777561129369864700,35.07986474609375,59
1777561129925762600,35.63576245117188,60
1777561130481650700,36.19165063476562,61
1777561131094105300,36.80410522460937,62
1777561131538051600,37.248051513671875,63
1777561132186563000,37.89656298828125,64
1777561132724068400,38.434068359375,65
1777561133354060300,39.064060302734376,66
1777561133909744400,39.619744384765625,67
1777561134595333400,40.30533349609375,68
1777561135281093600,40.99109375,69
1777561135929580800,41.639580810546875,70
1777561136634051600,42.34405151367187,71
1777561137264016000,42.97401586914062,72
1777561137913518800,43.62351879882812,73
1777561138598017800,44.308017822265626,74
1777561139394644700,45.104644775390625,75
1777561139969091300,45.67909130859375,76
1777561140563316700,46.273316650390626,77
1777561141193352400,46.9033525390625,78
1777561141747971000,47.45797119140625,79
1777561142415083000,48.1250830078125,80
1777561142934060800,48.644060791015626,81
1777561143564150300,49.274150390625,82
1777561144138518800,49.848518798828124,83
1777561144843842000,50.55384204101563,84
1777561146547411500,52.25741137695312,85
1777561147029221000,52.73922119140625,86
1777561148455849500,54.16584936523437,87
