time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1777561094405000000,0.115,45,1.5,2.5703351497650146,30,0,0,66,4.8637968,52.3348138
1777561096988000000,2.698,0,1.5,2.587639093399048,25.049999237060547,0.01396661065518856,0,66,4.8638003,52.3348135
1777561100692160800,6.402160888671875,0,1.5,2.587639093399048,34.76499938964844,0.0481148362159729,0,66,4.8637952,52.3348137
1777561101308720600,7.018720703125,180,0.3831768035888672,2.626929998397827,39.71200180053711,1.1401903629302979,89.98634338378906,66,4.8638436,52.3348136
1777561101875296500,7.585296630859375,103.21167755126953,0.27557462453842163,2.626929998397827,42.30799865722656,0.2312295287847519,338.337646484375,66,4.8638275,52.3348192
1777561102467452400,8.177452392578125,103.87393951416016,0.3073083460330963,2.637807846069336,49.85100173950195,0.8038465976715088,286.7388916015625,66,4.8638159,52.33482
1777561103087638000,8.797637939453125,88.01800537109375,0.26923322677612305,2.637807846069336,50.11199951171875,1.126033902168274,275.9111633300781,66,4.8638036,52.334819
1777561103967719700,9.6777197265625,76.53670501708984,0.23716402053833008,2.659878730773926,50.4109992980957,1.066729187965393,252.11349487304688,66,4.8637866,52.3348134
1777561104397530600,10.107530517578125,75.53866577148438,0.2823432981967926,2.659878730773926,50.63600158691406,1.2331615686416626,223.6551971435547,66,4.8637791,52.3348061
1777561105051593500,10.761593505859375,73.30941009521484,0.25206443667411804,2.665095329284668,50.79499816894531,1.230392336845398,207.02915954589844,66,4.8637715,52.3348022
1777561105655590000,11.36558984375,74.94371795654297,0.2938515245914459,2.665095329284668,50.90800094604492,1.0619608163833618,188.78768920898438,66,4.8637691,52.3347991
1777561106191198200,11.9011982421875,72.50457763671875,0.22752107679843903,2.6762807369232178,51.18600082397461,1.0285178422927856,169.54075622558594,66,4.863772,52.3347968
1777561106746838800,12.4568388671875,73.015625,0.2706771194934845,2.6762807369232178,51.43299865722656,1.0585445165634155,155.30560302734375,66,4.8637766,52.3347946
