time,seconds_elapsed,relativeAltitude,pressure
1777561094569309200,0.27930908203125,0,1023.003662109375
1777561094609400300,0.319400390625,0.031707763671875,1023.000244140625
1777561094649305600,0.3593056640625,0.15325164794921875,1022.985595703125
1777561094689313300,0.399313232421875,0.20081329345703125,1022.9794921875
1777561094729294300,0.43929443359375,0.16910552978515625,1022.983154296875
1777561094769313000,0.47931298828125,0.132110595703125,1022.98779296875
1777561094809312800,0.519312744140625,0.0475616455078125,1022.998046875
1777561094849305000,0.55930517578125,0.07398223876953125,1022.99462890625
1777561094889313000,0.59931298828125,0.01056671142578125,1023.00244140625
1777561094929313000,0.63931298828125,0.01056671142578125,1023.00244140625
1777561094969303300,0.67930322265625,-0.12154388427734375,1023.018310546875
1777561095009313000,0.71931298828125,-0.28008270263671875,1023.03759765625
1777561095049312800,0.759312744140625,-0.3329315185546875,1023.0439453125
1777561095089316000,0.799316162109375,-0.512603759765625,1023.066162109375
1777561095129310200,0.839310302734375,-0.449188232421875,1023.058349609375
1777561095169312800,0.879312744140625,2.0821075439453125,1022.751953125
1777561095209314300,0.919314208984375,3.4930877685546875,1022.580810546875
1777561095249311700,0.959311767578125,3.9845504760742188,1022.521728515625
1777561095289312300,0.999312255859375,4.296333312988281,1022.48388671875
1777561095329312800,1.039312744140625,3.736175537109375,1022.551513671875
1777561095369312000,1.07931201171875,2.710968017578125,1022.676025390625
1777561095409312800,1.119312744140625,1.6963348388671875,1022.79833984375
1777561095449312500,1.1593125,0.7556915283203125,1022.91259765625
1777561095489357000,1.199357177734375,-0.3382110595703125,1023.044921875
1777561095529312800,1.239312744140625,-1.7439041137695312,1023.21484375
1777561095569313800,1.279313720703125,-2.8166656494140625,1023.344970703125
1777561095609304300,1.31930419921875,-3.1073150634765625,1023.38037109375
1777561095649313000,1.35931298828125,-2.7162628173828125,1023.3330078125
1777561095689312300,1.399312255859375,-2.0081329345703125,1023.2470703125
1777561095729304000,1.439303955078125,-0.7186965942382812,1023.090576171875
1777561095769313000,1.47931298828125,0.7345504760742188,1022.914794921875
1777561095809312800,1.519312744140625,1.2418670654296875,1022.853515625
1777561095849303800,1.5593037109375,2.09796142578125,1022.75
1777561095889313300,1.599313232421875,3.0491790771484375,1022.634521484375
