time,seconds_elapsed,pressure,relativeAltitude
1776038959414009900,-1522134.8759902343,1022.494384765625,0
1776038959514595800,-1522134.7754040528,1022.462890625,0.258941650390625
1776038959615121000,-1522134.6748791505,1022.45166015625,0.34877777099609375
1776038959715859500,-1522134.574140625,1022.472900390625,0.17438507080078125
1776038959816414700,-1522134.4735852052,1022.505859375,-0.095123291015625
1776038959917031200,-1522134.37296875,1022.497314453125,-0.02642059326171875
1776038960017800200,-1522134.272199707,1022.44091796875,0.4386138916015625
1776038960118508300,-1522134.1714916993,1022.4365234375,0.47560882568359375
1776038960219277300,-1522134.0707226563,1022.427490234375,0.549591064453125
1776038960319985400,-1522133.9700146485,1022.424560546875,0.5760116577148438
1776038960420662800,-1522133.8693371583,1022.40380859375,0.7451171875
1776038960521340400,-1522133.768659668,1022.46240234375,0.26422882080078125
1776038960621956900,-1522133.668043213,1022.46533203125,0.23780059814453125
1776038960722695200,-1522133.5673049316,1022.461181640625,0.26950836181640625
1776038960823433700,-1522133.4665661622,1022.489990234375,0.031707763671875
1776038960924172300,-1522133.3658276368,1022.3759765625,0.9776382446289062
1776038961024850000,-1522133.2651501466,1022.376953125,0.967071533203125
1776038961125588500,-1522133.1644116212,1022.382568359375,0.9195098876953125
1776038961226205000,-1522133.063795166,1022.41455078125,0.6552810668945312
1776038961326851800,-1522132.9631481934,1022.379150390625,0.9512176513671875
1776038961427498800,-1522132.8625012208,1022.407470703125,0.713409423828125
1776038961528206800,-1522132.761793213,1022.446044921875,0.39633941650390625
1776038961628914700,-1522132.6610852052,1022.402099609375,0.7609710693359375
1776038961729622800,-1522132.5603771973,1022.415283203125,0.6500015258789062
1776038961830300200,-1522132.459699951,1022.4033203125,0.7504043579101562
1776038961930947300,-1522132.3590527344,1022.415771484375,0.64471435546875
1776038962031594200,-1522132.2584057618,1022.384765625,0.903656005859375
1776038962132302300,-1522132.157697754,1022.37109375,1.0146331787109375
1776038962233040600,-1522132.0569594726,1022.369873046875,1.0251998901367188
1776038962333687800,-1522131.956312256,1022.3583984375,1.1203231811523438
1776038962434273500,-1522131.8557265624,1022.353271484375,1.16259765625
1776038962534859500,-1522131.755140381,1022.37890625,0.9512176513671875
1776038962635598000,-1522131.6544018555,1022.339599609375,1.2788619995117188
1776038962736184000,-1522131.553815918,1022.36572265625,1.06219482421875
1776038962836831000,-1522131.4531689454,1022.371337890625,1.0146331787109375
1776038962937569500,-1522131.35243042,1022.348876953125,1.1995925903320312
1776038963038399700,-1522131.2516003419,1022.333251953125,1.3317031860351562
1776038963139046700,-1522131.1509533692,1022.342529296875,1.2524337768554688
1776038963239632600,-1522131.0503674317,1022.3232421875,1.4109725952148438
1776038963340218400,-1522130.9497817382,1022.31982421875,1.4426803588867188
1776038963440834800,-1522130.8491652831,1022.297607421875,1.6223526000976562
1776038963541512400,-1522130.748487549,1022.30517578125,1.5589370727539062
1776038963642189800,-1522130.6478100587,1022.321533203125,1.4268264770507812
1776038963742928400,-1522130.5470715333,1022.290771484375,1.68048095703125
1776038963843636500,-1522130.4463635255,1022.30712890625,1.5430831909179688
1776038963944405500,-1522130.3455944825,1022.33984375,1.2735748291015625
1776038964045083000,-1522130.2449172363,1022.32373046875,1.4056854248046875
1776038964145699300,-1522130.1443007812,1022.3408203125,1.2682876586914062
1776038964246285300,-1522130.0437145997,1022.32421875,1.4056854248046875
