time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1774789947552964400,-0.98303564453125,2.3409762382507324,1.4841257333755493,0.32031598687171936,-0.37964001297950745,-1.3043622970581055,-0.621291995048523,0.606024980545044
1774789947582646300,-0.953353759765625,0.09338922053575516,-0.2816651165485382,0.12509599328041077,-0.027148999273777008,0.2668924927711487,0.14511699974536896,0.9810979962348938
1774789947592456200,-0.943543701171875,-0.10911687463521957,-0.28937485814094543,0.13456200063228607,0.07198599725961685,0.2572968006134033,0.1358560025691986,0.9789040088653564
1774789947602366000,-0.933634033203125,-0.37406885623931885,-0.30212247371673584,0.14699600636959076,0.20058700442314148,0.24609847366809845,0.12418200075626373,0.9605910181999207
1774789947612406000,-0.923593994140625,-0.3788076937198639,-0.3175589144229889,0.14442700147628784,0.20298999547958374,0.23745667934417725,0.13217200338840485,0.9594089984893799
1774789947622476800,-0.913523193359375,-0.4003722667694092,-0.33014976978302,0.14412899315357208,0.2134390026330948,0.23155084252357483,0.1373080015182495,0.9564599990844727
1774789947632547800,-0.9034521484375,-0.39604827761650085,-0.3382834792137146,0.14375799894332886,0.21157699823379517,0.22991766035556793,0.1417129933834076,0.9562870264053345
1774789947642588000,-0.893412109375,-0.3938027620315552,-0.3419985771179199,0.14358699321746826,0.21059800684452057,0.22922293841838837,0.1437380015850067,0.9562270045280457
1774789947652658700,-0.88334130859375,-0.4016784131526947,-0.3438452482223511,0.14305199682712555,0.21424199640750885,0.2265797108411789,0.1443440020084381,0.9554060101509094
1774789947692942000,-0.843057861328125,-0.3958570659160614,-0.3479118049144745,0.12686899304389954,0.2091130018234253,0.19289462268352509,0.1502619981765747,0.957912027835846
1774789947713022500,-0.8229775390625,-0.4124760031700134,-0.34598198533058167,0.12666699290275574,0.21681299805641174,0.19024261832237244,0.1485610008239746,0.9564909934997559
1774789947723093500,-0.812906494140625,-0.4143577516078949,-0.3434523046016693,0.12831300497055054,0.21790899336338043,0.1938842236995697,0.14682699739933014,0.9562910199165344
1774789947733164300,-0.802835693359375,-0.3939747214317322,-0.3418314456939697,0.12808099389076233,0.2083200067281723,0.19683337211608887,0.14703799784183502,0.9584239721298218
1774789947743204400,-0.792795654296875,-0.3843219578266144,-0.3411509096622467,0.1277579963207245,0.2037390023469925,0.19776380062103271,0.14723099768161774,0.9594219923019409
1774789947753244700,-0.78275537109375,-0.3810129165649414,-0.3386949300765991,0.12597399950027466,0.20186999440193176,0.19498836994171143,0.1465359926223755,0.9601590037345886
1774789947763315500,-0.7726845703125,-0.3749796748161316,-0.33807265758514404,0.12332600355148315,0.19862399995326996,0.19050635397434235,0.14706000685691833,0.9610990285873413
1774789947813669600,-0.722330322265625,-0.4280228912830353,-0.3308473825454712,0.12260299921035767,0.22326600551605225,0.18238790333271027,0.1411679983139038,0.9566559791564941
1774789947823710000,-0.7122900390625,-0.42466261982917786,-0.3240106403827667,0.12137400358915329,0.22142699360847473,0.1816914975643158,0.13815699517726898,0.9576789736747742
1774789947833780700,-0.70221923828125,-0.42848995327949524,-0.31900766491889954,0.11992199718952179,0.2229509949684143,0.17912565171718597,0.13580000400543213,0.9578459858894348
1774789947853952800,-0.682047119140625,-0.4512450695037842,-0.3162846267223358,0.1150439977645874,0.23290599882602692,0.1662900745868683,0.1346150040626526,0.9562410116195679
1774789947864023600,-0.6719765625,-0.45235303044319153,-0.3163245916366577,0.11447300016880035,0.23334500193595886,0.1649312525987625,0.13472899794578552,0.9561870098114014
1774789947884104200,-0.651895751953125,-0.45423778891563416,-0.31720706820487976,0.1136000007390976,0.2341109961271286,0.16264627873897552,0.1353130042552948,0.9560210108757019
1774789947894205400,-0.641794677734375,-0.4544684886932373,-0.3172823488712311,0.11313000321388245,0.23415300250053406,0.16161388158798218,0.13545699417591095,0.9560459852218628
1774789947904276200,-0.631723876953125,-0.45449280738830566,-0.3169955909252167,0.11263100057840347,0.23409199714660645,0.1606293022632599,0.13543300330638885,0.9561229944229126
1774789947914377500,-0.62162255859375,-0.4547705352306366,-0.31633684039115906,0.11214999854564667,0.2341500073671341,0.15972842276096344,0.13520599901676178,0.95619797706604
1774789947924448300,-0.6115517578125,-0.45534107089042664,-0.3150521218776703,0.11138500273227692,0.23430199921131134,0.1583300083875656,0.13471999764442444,0.9563189744949341
1774789947934519000,-0.60148095703125,-0.45583489537239075,-0.3133930265903473,0.11051999777555466,0.23440299928188324,0.15681640803813934,0.13407200574874878,0.9564849734306335
1774789947944590000,-0.591409912109375,-0.4561519920825958,-0.311568021774292,0.10971099883317947,0.2344290018081665,0.15548275411128998,0.1333329975605011,0.9566749930381775
1774789947954660900,-0.581339111328125,-0.45635202527046204,-0.3099149167537689,0.10910400003194809,0.2344300001859665,0.15455079078674316,0.13263599574565887,0.956840991973877
1774789947964731600,-0.571268310546875,-0.45627039670944214,-0.3080771565437317,0.10850899666547775,0.23430000245571136,0.15372440218925476,0.13185299932956696,0.9570490121841431
1774789947994974500,-0.541025634765625,-0.4542604088783264,-0.3066696524620056,0.10812400281429291,0.2332960069179535,0.15350627899169922,0.13131000101566315,0.9574120044708252
1774789948005075700,-0.53092431640625,-0.45320624113082886,-0.3067648708820343,0.10825300216674805,0.23281900584697723,0.15389955043792725,0.13136699795722961,0.957506000995636
1774789948015146500,-0.520853515625,-0.4514978528022766,-0.3068305253982544,0.1082179993391037,0.23201200366020203,0.15404649078845978,0.13147400319576263,0.9576910138130188
1774789948025217300,-0.51078271484375,-0.4500558376312256,-0.306613564491272,0.10817299783229828,0.23132699728012085,0.15419776737689972,0.1314300000667572,0.9578679800033569
1774789948035257600,-0.500742431640625,-0.44877249002456665,-0.3059979975223541,0.10809899866580963,0.2307099997997284,0.15435300767421722,0.13118499517440796,0.9580590128898621
1774789948045359000,-0.490640869140625,-0.446440190076828,-0.30494120717048645,0.10795299708843231,0.22958700358867645,0.1545955240726471,0.13077400624752045,0.9584010243415833
1774789948055460400,-0.48053955078125,-0.4452657103538513,-0.304078072309494,0.10790199786424637,0.22902199625968933,0.15483511984348297,0.13039399683475494,0.958594024181366
1774789948065561600,-0.4704384765625,-0.44496485590934753,-0.30330541729927063,0.1079069972038269,0.228875994682312,0.1550525277853012,0.13001300394535065,0.9586799740791321
1774789948115976700,-0.420023193359375,-0.4363160729408264,-0.30210286378860474,0.11084099858999252,0.22519099712371826,0.16259492933750153,0.12905000150203705,0.9593480229377747
1774789948126047500,-0.409952392578125,-0.43360435962677,-0.30198392271995544,0.11085899919271469,0.2239149957895279,0.16302192211151123,0.12909500300884247,0.9596379995346069
1774789948136148700,-0.399851318359375,-0.4290845990180969,-0.301920622587204,0.11090099811553955,0.22179000079631805,0.1637309044599533,0.12923599779605865,0.9601079821586609
1774789948146250200,-0.389749755859375,-0.4260740280151367,-0.30187439918518066,0.11106999963521957,0.22039300203323364,0.16449765861034393,0.12929600477218628,0.9604020118713379
1774789948156321000,-0.379678955078125,-0.4242575764656067,-0.3020320236682892,0.11121699959039688,0.2195580005645752,0.16501623392105103,0.12941600382328033,0.9605600237846375
