time,seconds_elapsed,z,y,x
1774789947563004700,-0.972995361328125,0.12950342893600464,0.3628539443016052,0.48869219422340393
1774789947582646300,-0.953353759765625,-0.26633724570274353,0.5387831330299377,0.6951646208763123
1774789947592456200,-0.943543701171875,0.26633724570274353,-0.44837507605552673,-0.5546656250953674
1774789947602366000,-0.933634033203125,0.29077184200286865,-0.38606682419776917,-0.26022860407829285
1774789947612406000,-0.923593994140625,0.2064724564552307,-0.16982053220272064,0.06352998316287994
1774789947622476800,-0.913523193359375,0.18814650177955627,-0.15393804013729095,-0.03420845419168472
1774789947632547800,-0.9034521484375,0.16982053220272064,-0.15271630883216858,-0.1466076523065567
1774789947652658700,-0.88334130859375,0.16493362188339233,-0.15271630883216858,-0.251676470041275
1774789947662729700,-0.873270263671875,0.16737708449363708,-0.14538592100143433,-0.23457226157188416
1774789947692942000,-0.843057861328125,0.19303341209888458,-0.08674286305904388,-0.12339477986097336
1774789947713022500,-0.8229775390625,0.2064724564552307,-0.09162978827953339,-0.07452555745840073
1774789947723093500,-0.812906494140625,0.20036379992961884,-0.10262536257505417,-0.04764748737215996
1774789947733164300,-0.802835693359375,0.19547687470912933,-0.1062905490398407,-0.00366519158706069
1774789947743204400,-0.792795654296875,0.1918116807937622,-0.10873401165008545,0.02687807008624077
1774789947753244700,-0.78275537109375,0.1820378452539444,-0.1014036312699318,0
1774789947763315500,-0.7726845703125,0.17104226350784302,-0.09407325088977814,-0.06963863968849182
1774789947813669600,-0.722330322265625,0.13439035415649414,-0.11728613078594208,-0.23945917189121246
1774789947823710000,-0.7122900390625,0.13439035415649414,-0.11728613078594208,-0.23945917189121246
1774789947833780700,-0.70221923828125,0.12339477986097336,-0.1014036312699318,-0.08429940044879913
1774789947853952800,-0.682047119140625,0.11484266817569733,-0.09529497474431992,-0.015882495790719986
1774789947864023600,-0.6719765625,0.11362093687057495,-0.08307767659425735,0.02687807008624077
1774789947884104200,-0.651895751953125,0.0757472887635231,-0.07819075137376785,-0.0024434609804302454
1774789947894205400,-0.641794677734375,0.04886921867728233,-0.0806342139840126,-0.0354301854968071
1774789947904276200,-0.631723876953125,0.02932153269648552,-0.0757472887635231,-0.0708603709936142
1774789947914377500,-0.62162255859375,0.01466076634824276,-0.07208210229873657,-0.11484266817569733
1774789947924448300,-0.6115517578125,0.006108652334660292,-0.06108652427792549,-0.15882496535778046
1774789947934519000,-0.60148095703125,-0.013439035043120384,-0.05009094998240471,-0.1319468915462494
