time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1774789948668096000,0.132095947265625,0.2981792390346527,0.10487563163042068,0.28212276101112366,0.9058129191398621,0.026555420830845833,-0.6109481453895569,-0.6276487112045288
1774789948695883300,0.15988330078125,0.2693319022655487,0.07916861027479172,0.2704761326313019,0.9208883047103882,0.00013693868822883815,-0.5713901519775391,-0.5690277218818665
1774789948714408000,0.178407958984375,0.26486271619796753,0.07182475924491882,0.2630852162837982,0.9249189496040344,-0.007634192239493132,-0.5523772835731506,-0.5599626898765564
1774789948732932900,0.196932861328125,0.25455442070961,0.06783339381217957,0.25817790627479553,0.9294863343238831,-0.006227700971066952,-0.5404013991355896,-0.5363475680351257
1774789948751457500,0.21545751953125,0.2521665692329407,0.06857460737228394,0.2531885802745819,0.9314532279968262,0.00006572927668457851,-0.5308321118354797,-0.5287548899650574
1774789948769982500,0.233982421875,0.24219001829624176,0.06722544133663177,0.24768677353858948,0.9356687664985657,0.006710942834615707,-0.5190646648406982,-0.504783570766449
1774789948788507100,0.252507080078125,0.23401623964309692,0.06549924612045288,0.23784849047660828,0.9404118061065674,0.013516239821910858,-0.49838411808013916,-0.48434188961982727
1774789948816294700,0.280294677734375,0.2232237309217453,0.061804261058568954,0.2264920324087143,0.9460722804069519,0.017784664407372475,-0.4736618399620056,-0.4591274559497833
1774789948834819300,0.2988193359375,0.21533997356891632,0.05859910696744919,0.2229926884174347,0.9489305019378662,0.016978127881884575,-0.4650266170501709,-0.44227927923202515
1774789948853344000,0.317343994140625,0.21309669315814972,0.05658683553338051,0.22232331335544586,0.949715793132782,0.014226730912923813,-0.4627436101436615,-0.43809565901756287
1774789948871869000,0.335868896484375,0.21158526837825775,0.05652187392115593,0.22201406955718994,0.9501298069953918,0.015033475123345852,-0.46207085251808167,-0.4346945583820343
1774789948890393900,0.354393798828125,0.2039129137992859,0.05576835200190544,0.22241359949111938,0.9517571330070496,0.017263678833842278,-0.46241551637649536,-0.41805198788642883
1774789948908918500,0.37291845703125,0.19495604932308197,0.05410647764801979,0.22315074503421783,0.9535556435585022,0.018082937225699425,-0.4630400240421295,-0.3990815579891205
1774789948936705800,0.400705810546875,0.1884300261735916,0.05209393799304962,0.22434379160404205,0.9546990394592285,0.01669119857251644,-0.46452000737190247,-0.3857850432395935
1774789948955230700,0.419230712890625,0.18820767104625702,0.05049864575266838,0.22461391985416412,0.9547650814056396,0.013288482092320919,-0.4644325375556946,-0.3861158788204193
1774789948973755400,0.43775537109375,0.18861816823482513,0.04965122044086456,0.22434037923812866,0.9547927975654602,0.0113856615498662,-0.46355125308036804,-0.38738781213760376
1774789948992280300,0.4562802734375,0.1867508888244629,0.04888583719730377,0.22466394305229187,0.955123245716095,0.010591025464236736,-0.46388116478919983,-0.38367733359336853
1774789949010805200,0.47480517578125,0.1851796805858612,0.048109475523233414,0.2258371263742447,0.9551919102668762,0.009253125637769699,-0.46592944860458374,-0.38078656792640686
1774789949029330000,0.493329833984375,0.18198363482952118,0.04642639681696892,0.22729671001434326,0.9555431604385376,0.006719469558447599,-0.4682006537914276,-0.37479090690612793
1774789949047854800,0.511854736328125,0.18015584349632263,0.04468090832233429,0.22807028889656067,0.9557883739471436,0.0036263130605220795,-0.4690879285335541,-0.3717404007911682
1774789949066379500,0.530379638671875,0.1806264966726303,0.04399106279015541,0.2277023047208786,0.955819308757782,0.002058273646980524,-0.46808314323425293,-0.3730553686618805
1774789949084904400,0.548904541015625,0.17900535464286804,0.043662767857313156,0.22709928452968597,0.9562826752662659,0.002467881655320525,-0.46673619747161865,-0.36950790882110596
1774789949112691700,0.576691650390625,0.17578938603401184,0.04245444014668465,0.22673484683036804,0.9570198655128479,0.0017282406333833933,-0.46554020047187805,-0.36290860176086426
1774789949131216400,0.59521630859375,0.17495371401309967,0.04068002477288246,0.22621437907218933,0.9573731422424316,-0.0014112737262621522,-0.46383073925971985,-0.3618313670158386
1774789949159003600,0.623003662109375,0.17895682156085968,0.0403304398059845,0.22667306661605835,0.9565392136573792,-0.004445330705493689,-0.4646144509315491,-0.37095117568969727
1774789949177528600,0.641528564453125,0.17951881885528564,0.040490929037332535,0.2275073230266571,0.9562289714813232,-0.004754203837364912,-0.4663577675819397,-0.37228137254714966
1774789949196053200,0.66005322265625,0.18080094456672668,0.04047341272234917,0.2272133082151413,0.9560580849647522,-0.0053396765142679214,-0.465750515460968,-0.37507370114326477
1774789949214578200,0.678578125,0.18213078379631042,0.0402146577835083,0.2260325402021408,0.9560964703559875,-0.006077361758798361,-0.4632595479488373,-0.3779110908508301
1774789949233103000,0.69710302734375,0.18309468030929565,0.03996256738901138,0.22510434687137604,0.9561418890953064,-0.006712686736136675,-0.461282879114151,-0.37998172640800476
1774789949260890000,0.72489013671875,0.18335704505443573,0.03799530491232872,0.224945068359375,0.9562093019485474,-0.01096893846988678,-0.4601947069168091,-0.3814782202243805
1774789949279415000,0.7434150390625,0.1833876371383667,0.036755580455064774,0.22505249083042145,0.956226646900177,-0.013671408407390118,-0.4599277973175049,-0.3821643590927124
1774789949297940000,0.76193994140625,0.18304622173309326,0.03635675087571144,0.22434869408607483,0.956472635269165,-0.014032764360308647,-0.4583585560321808,-0.38145357370376587
1774789949316464600,0.780464599609375,0.1818838268518448,0.03684293106198311,0.22236758470535278,0.957138180732727,-0.01153409481048584,-0.45456916093826294,-0.37824714183807373
1774789949334989300,0.7989892578125,0.18079505860805511,0.03769263997673988,0.21971511840820312,0.9579236507415771,-0.008031581528484821,-0.44956067204475403,-0.3749205768108368
1774789949353514200,0.81751416015625,0.18022437393665314,0.03865993022918701,0.21723130345344543,0.9585589170455933,-0.004636530298739672,-0.44492802023887634,-0.3727415204048157
1774789949372039200,0.8360390625,0.18001563847064972,0.038860857486724854,0.2153792530298233,0.9590077996253967,-0.003326163161545992,-0.44127413630485535,-0.3718481957912445
1774789949390563800,0.854563720703125,0.17962445318698883,0.03800945356488228,0.21405959129333496,0.9594106674194336,-0.004381490405648947,-0.43829578161239624,-0.37113797664642334
1774789949409088800,0.8730888671875,0.1788325160741806,0.03580261394381523,0.2135133147239685,0.9597651362419128,-0.008432304486632347,-0.4363679885864258,-0.37030336260795593
1774789949427613400,0.891613525390625,0.17733228206634521,0.032853491604328156,0.21365077793598175,0.9601183533668518,-0.01399490050971508,-0.4355531930923462,-0.36837711930274963
1774789949446138400,0.910138427734375,0.17541363835334778,0.02947964519262314,0.21365752816200256,0.9605787396430969,-0.02019857056438923,-0.43434029817581177,-0.36570146679878235
1774789949464663300,0.928663330078125,0.17410120368003845,0.02777634561061859,0.21343208849430084,0.9609183073043823,-0.02306964620947838,-0.4332837760448456,-0.36355316638946533
1774789949483188000,0.94718798828125,0.17408610880374908,0.027425067499279976,0.21277537941932678,0.9610767364501953,-0.023529235273599625,-0.4318322539329529,-0.3635481595993042
1774789949501713000,0.965712890625,0.17427794635295868,0.02726454846560955,0.2121887356042862,0.9611762762069702,-0.02371419593691826,-0.4305875301361084,-0.36392346024513245
1774789949520237600,0.984237548828125,0.17466872930526733,0.026902958750724792,0.21183188259601593,0.9611942172050476,-0.024513911455869675,-0.42972561717033386,-0.3648679554462433
1774789949538762500,1.002762451171875,0.1744402050971985,0.027148360386490822,0.21134524047374725,0.9613359570503235,-0.023683439940214157,-0.42884328961372375,-0.3641636073589325
1774789949557287200,1.021287109375,0.1731630265712738,0.027955545112490654,0.21029198169708252,0.9617745876312256,-0.020937491208314896,-0.42705127596855164,-0.36081376671791077
1774789949575812000,1.03981201171875,0.17166969180107117,0.028023112565279007,0.20929460227489471,0.9622577428817749,-0.01968097686767578,-0.42510026693344116,-0.3573387563228607
1774789949594336800,1.058336669921875,0.1707981824874878,0.02706889808177948,0.2087801843881607,0.9625518918037415,-0.02107328735291958,-0.42373740673065186,-0.35576334595680237
1774789949612861700,1.07686181640625,0.17161545157432556,0.025767913088202477,0.2084207385778427,0.9625201225280762,-0.02404923364520073,-0.42252275347709656,-0.35804569721221924
1774789949631386600,1.09538671875,0.1736418902873993,0.025759374722838402,0.2076577991247177,0.9623217582702637,-0.024696698412299156,-0.42093396186828613,-0.3623155355453491
1774789949649911300,1.113911376953125,0.17548313736915588,0.027190521359443665,0.20660461485385895,0.9621750712394714,-0.022103572264313698,-0.41930148005485535,-0.36550119519233704
1774789949668436200,1.132436279296875,0.17640918493270874,0.028640346601605415,0.2057204246520996,0.9621531367301941,-0.01911643147468567,-0.4180442988872528,-0.3667237162590027
1774789949696223500,1.160223388671875,0.17536479234695435,0.028509369120001793,0.2059376835823059,0.9623014330863953,-0.018999580293893814,-0.4184529185295105,-0.36454781889915466
1774789949714748200,1.178748046875,0.17471644282341003,0.02753063105046749,0.20636196434497833,0.9623569846153259,-0.020932866260409355,-0.418956995010376,-0.3636392652988434
1774789949733273000,1.197273193359375,0.17496083676815033,0.026672225445508957,0.2061387449502945,0.9623845815658569,-0.022757399827241898,-0.41818517446517944,-0.36449959874153137
1774789949751797800,1.2157978515625,0.1758095622062683,0.026373647153377533,0.20550812780857086,0.9623730182647705,-0.0235128253698349,-0.4167868196964264,-0.3663541078567505
1774789949770322700,1.23432275390625,0.17668472230434418,0.02672938071191311,0.20521381497383118,0.9622657299041748,-0.023044923320412636,-0.41630715131759644,-0.3680487275123596
1774789949788847400,1.252847412109375,0.17711959779262543,0.02768033929169178,0.20518040657043457,0.9621660113334656,-0.02123427949845791,-0.41658589243888855,-0.36858054995536804
1774789949816634600,1.280634521484375,0.17717333137989044,0.029108501970767975,0.20517569780349731,0.9621149897575378,-0.018258189782500267,-0.41710975766181946,-0.3680833876132965
1774789949835159600,1.29915966796875,0.1769707053899765,0.028616979718208313,0.20517338812351227,0.962167501449585,-0.019196150824427605,-0.416925311088562,-0.36785319447517395
