time,seconds_elapsed,longitude,speedAccuracy,speed,bearingAccuracy,latitude,bearing,horizontalAccuracy,verticalAccuracy,altitude
1774789948616083700,0.080083740234375,4.8746638,1.5,0,45,52.3192589,0,16.790000915527344,2.007455587387085,67.19999694824219
1774789953923614500,5.387614501953125,4.8746645,1.5,0.05819307640194893,0,52.3192635,0,26.520999908447266,2.0332207679748535,67.19999694824219
1774789954533522400,5.9975224609375,4.8746644,1.5,0.05718893185257912,0,52.3192638,0,26.60700035095215,2.0332207679748535,67.19999694824219
1774789955274609700,6.738609619140625,4.8746639,1.5,0.053330011665821075,0,52.3192639,0,26.735000610351562,2.0419955253601074,67.19999694824219
1774789955798916400,7.262916259765625,4.8746635,1.5,0.04830700531601906,0,52.319264,0,26.863000869750977,2.0419955253601074,67.19999694824219
1774789956576223500,8.040223388671874,4.8746633,1.5,0.03967924043536186,0,52.319264,0,27.030000686645508,2.0501022338867188,67.19999694824219
1774789957045661400,8.509661376953124,4.8746506,0.25576648116111755,0.9065423011779785,111.30842590332031,52.3192719,314.3485412597656,27.166000366210938,2.0501022338867188,67.19999694824219
1774789957589045500,9.05304541015625,4.8746478,0.3004123568534851,0.9492600560188293,111.5804214477539,52.319274,313.97125244140625,27.312000274658203,2.057396650314331,67.19999694824219
1774789957928313900,9.39231396484375,4.8746665,0.21337713301181793,1.0020748376846313,94.74846649169922,52.3192703,319.9535827636719,27.391000747680664,2.018195629119873,67.19999694824219
1774789958237556500,9.701556396484374,4.8746639,0.2182137817144394,1.0140007734298706,75.0018310546875,52.3192975,345.5010070800781,25.809999465942383,2.018195629119873,67.19999694824219
1774789958876546600,10.340546630859375,4.8746609,0.16362500190734863,1.0125842094421387,58.00511169433594,52.3193023,344.8485107421875,24.547000885009766,2.018195629119873,67.19999694824219
1774789959411805400,10.875805419921875,4.8746588,0.2608945965766907,1.0120309591293335,58.18864822387695,52.3193067,344.5787353515625,23.257999420166016,2.0275943279266357,67.19999694824219
1774789960027351300,11.491351318359374,4.8746547,0.2227848470211029,1.043481707572937,50.542789459228516,52.3193115,343.6290283203125,21.972999572753906,2.0275943279266357,67.19999694824219
1774789960594843600,12.05884375,4.8746514,0.2590378224849701,1.0436874628067017,49.29820251464844,52.3193159,344.414306640625,19.905000686645508,2.0358688831329346,67.19999694824219
1774789961240736300,12.704736328125,4.8746489,0.21537542343139648,1.0402766466140747,45.474117279052734,52.3193213,345.9070739746094,18.520999908447266,2.0358688831329346,67.19999694824219
1774789961804215300,13.26821533203125,4.8746478,0.16371016204357147,1.0442218780517578,39.51790237426758,52.3193271,348.3865966796875,17.079999923706055,2.044663667678833,67.19999694824219
1774789962459561000,13.92356103515625,4.8746468,0.21426451206207275,1.050624132156372,39.549468994140625,52.3193325,348.0406799316406,15.678000450134277,2.044663667678833,67.19999694824219
1774789963656283100,15.120283203125,4.8746434,0.24785242974758148,1.0811105966567993,33.94672775268555,52.319344,348.6834716796875,14.465999603271484,2.0569100379943848,67.19999694824219
1774789964182219000,15.646218994140625,4.8746406,0.22015543282032013,1.085738182067871,27.705120086669922,52.3193512,348.3226013183594,14.793000221252441,2.0569100379943848,67.19999694824219
1774789964786254800,16.2502548828125,4.8746368,0.17450009286403656,1.0774801969528198,26.95969581604004,52.3193587,348.2527770996094,15.02299976348877,2.064925193786621,67.19999694824219
1774789965480066800,16.94406689453125,4.8746304,0.2162942737340927,1.076646089553833,27.21455192565918,52.3193687,349.0323791503906,15.126999855041504,1.8748829364776611,67.4000015258789
1774789966001380900,17.465380859375,4.8746576,0.16753140091896057,1.0926200151443481,19.2537899017334,52.319388,355.5234375,14.805999755859375,1.8748829364776611,67.4000015258789
1774789966760898000,18.22489794921875,4.8746596,0.24853606522083282,1.092432975769043,20.796085357666016,52.3193949,355.2026062011719,14.3149995803833,1.8791221380233765,67.4000015258789
1774789967220569900,18.68456982421875,4.8746596,0.2166690230369568,1.1029105186462402,19.338720321655273,52.3193999,354.5924072265625,13.859000205993652,1.8791221380233765,67.4000015258789
1774789967785850400,19.249850341796876,4.87466,0.16872255504131317,1.089046835899353,20.627418518066406,52.3194068,352.97369384765625,12.98799991607666,1.8852031230926514,67.4000015258789
1774789968409216300,19.87321630859375,4.8746596,0.21236757934093475,1.096232295036316,20.88195037841797,52.3194133,351.59600830078125,12.800000190734863,1.8852031230926514,67.4000015258789
1774789968978305000,20.442304931640624,4.8746586,0.2044188380241394,1.088533878326416,18.722766876220703,52.3194196,351.8313293457031,12.241999626159668,1.8929320573806763,67.4000015258789
1774789969722953700,21.18695361328125,4.8746572,0.24453817307949066,1.094014286994934,18.61241912841797,52.3194272,353.95257568359375,11.75,1.8929320573806763,67.4000015258789
1774789970238511900,21.702511962890625,4.8746554,0.22191274166107178,1.0532832145690918,18.12409782409668,52.3194324,354.70501708984375,11.345000267028809,1.89985191822052,67.4000015258789
1774789970886947600,22.350947509765625,4.8746535,0.16876232624053955,1.0106432437896729,17.904605865478516,52.319439,357.9377136230469,11.46399974822998,1.89985191822052,67.4000015258789
1774789971600837000,23.064837158203126,4.8746523,0.25405094027519226,1.0094636678695679,18.17113494873047,52.3194458,356.40966796875,11.711999893188477,1.9098155498504639,67.4000015258789
1774789972135925800,23.59992578125,4.8746504,0.1652064174413681,0.9977228045463562,18.111658096313477,52.3194509,351.79925537109375,11.91100025177002,1.9098155498504639,67.4000015258789
1774789973031657000,24.495656982421874,4.874649,0.19674481451511383,0.9517718553543091,18.392406463623047,52.319453,356.03271484375,12.020999908447266,1.4988046884536743,67.0999984741211
1774789974627186200,26.091186279296874,4.8746958,0.29666656255722046,0.8106270432472229,15.992166519165039,52.3194718,82.99031066894531,12.085000038146973,1.5088824033737183,67.0999984741211
1774789980262758700,31.726758544921875,4.8747228,0.10482246428728104,0.07275369763374329,0,52.3194694,0,9.163999557495117,1.4308804273605347,67.30000305175781
