time,seconds_elapsed,relativeAltitude,pressure
1775728160887662600,0.26066259765625,0,1015.384521484375
1775728160927653000,0.300653076171875,-0.05813026428222656,1015.3916015625
1775728160967661800,0.340661865234375,-0.2272357940673828,1015.411865234375
1775728161007663000,0.3806630859375,-0.3699188232421875,1015.42919921875
1775728161047653600,0.420653564453125,-0.4174785614013672,1015.434814453125
1775728161087657700,0.46065771484375,-0.4703254699707031,1015.44091796875
1775728161127662000,0.500662109375,-0.4808940887451172,1015.442626953125
1775728161167662800,0.540662841796875,-0.49146270751953125,1015.443359375
1775728161207660500,0.58066064453125,-0.5390243530273438,1015.449462890625
1775728161247661600,0.62066162109375,-0.49146270751953125,1015.443359375
1775728161287662600,0.66066259765625,-0.5918693542480469,1015.4560546875
1775728161327658800,0.70065869140625,-0.4967479705810547,1015.444091796875
1775728161367662000,0.740662109375,-0.4808940887451172,1015.442626953125
1775728161407662300,0.780662353515625,-0.34877967834472656,1015.42626953125
1775728161447660000,0.820659912109375,-0.322357177734375,1015.423095703125
1775728161487661300,0.860661376953125,-0.33292579650878906,1015.42431640625
1775728161527663400,0.900663330078125,-0.3910560607910156,1015.431884765625
1775728161567652900,0.94065283203125,-0.5548782348632812,1015.451416015625
1775728161607661300,0.980661376953125,-0.6182918548583984,1015.459228515625
1775728161647662800,1.020662841796875,-0.5760154724121094,1015.4541015625
1775728161687653400,1.0606533203125,-0.7186985015869141,1015.47119140625
1775728161727661000,1.1006611328125,-0.7662601470947266,1015.476806640625
1775728161767663400,1.140663330078125,-0.7345523834228516,1015.472900390625
1775728161807653400,1.1806533203125,-0.7239837646484375,1015.471435546875
1775728161847660000,1.220659912109375,-0.6552848815917969,1015.463134765625
1775728161887661000,1.2606611328125,-0.6552848815917969,1015.463134765625
1775728161927663000,1.3006630859375,-0.6024379730224609,1015.456787109375
1775728161967663900,1.340663818359375,-0.5126018524169922,1015.446044921875
1775728162007655700,1.38065576171875,-0.4386177062988281,1015.4375
1775728162047663000,1.4206630859375,-0.385772705078125,1015.430908203125
1775728162087657700,1.46065771484375,-0.613006591796875,1015.45849609375
1775728162127661600,1.50066162109375,-1.0252017974853516,1015.508056640625
1775728162167662800,1.540662841796875,-0.8296737670898438,1015.484619140625
1775728162207658500,1.580658447265625,-0.5337390899658203,1015.44873046875
1775728162247662000,1.620662109375,-0.33292579650878906,1015.424560546875
1775728162287662600,1.66066259765625,-0.16910552978515625,1015.405029296875
1775728162327657000,1.700656982421875,-0.026422500610351562,1015.387939453125
1775728162367661300,1.740661376953125,0.05813026428222656,1015.37744140625
1775728162407663000,1.7806630859375,-0.2536582946777344,1015.4150390625
1775728162447654400,1.820654296875,-0.4703254699707031,1015.441162109375
1775728162487661800,1.860661865234375,-0.2536582946777344,1015.4150390625
1775728162527664400,1.900664306640625,-0.10040664672851562,1015.396484375
1775728162567653400,1.9406533203125,0.021137237548828125,1015.38232421875
1775728162607660800,1.980660888671875,0.010568618774414062,1015.383544921875
1775728162647663400,2.020663330078125,0.49146270751953125,1015.3251953125
1775728162687653600,2.060653564453125,0.9300804138183594,1015.2724609375
1775728162727643000,2.100642822265625,1.384552001953125,1015.2177734375
1775728162767661300,2.140661376953125,1.426828384399414,1015.213134765625
1775728162807662800,2.180662841796875,1.35284423828125,1015.221923828125
1775728162847681300,2.220681396484375,0.9934959411621094,1015.26513671875
1775728162887661600,2.26066162109375,0.21666717529296875,1015.358642578125
1775728162927662600,2.30066259765625,-0.4861793518066406,1015.443115234375
1775728162967658000,2.340657958984375,-0.7134132385253906,1015.470458984375
1775728163007661800,2.380661865234375,-0.5813007354736328,1015.454345703125
1775728163047663400,2.420663330078125,-0.36463356018066406,1015.42822265625
1775728163087662300,2.460662353515625,-1.0886173248291016,1015.515380859375
1775728163127660800,2.500660888671875,-2.0768280029296875,1015.634521484375
1775728163167663000,2.5406630859375,-2.277639389038086,1015.65869140625
1775728163207657000,2.580656982421875,-2.1825180053710938,1015.64697265625
1775728163247661600,2.62066162109375,-2.092681884765625,1015.63671875
1775728163287663400,2.660663330078125,-2.071542739868164,1015.633544921875
1775728163327653400,2.7006533203125,-2.341054916381836,1015.666015625
1775728163367661800,2.740661865234375,-2.663412094116211,1015.705078125
1775728163407663000,2.7806630859375,-2.7109737396240234,1015.71044921875
1775728163447654000,2.82065380859375,-2.6581268310546875,1015.704345703125
1775728163487661800,2.860661865234375,-2.6581268310546875,1015.704345703125
1775728163527663000,2.9006630859375,-2.5735740661621094,1015.694091796875
1775728163567653600,2.940653564453125,-2.2723560333251953,1015.657958984375
1775728163607661000,2.9806611328125,-1.955282211303711,1015.6201171875
1775728163647661300,3.020661376953125,-1.5113811492919922,1015.566162109375
1775728163687663400,3.060663330078125,-1.2048759460449219,1015.529296875
1775728163727658500,3.100658447265625,-1.0146331787109375,1015.5068359375
1775728163767661600,3.14066162109375,-0.9142265319824219,1015.49462890625
1775728163807662300,3.180662353515625,-1.0252017974853516,1015.508056640625
1775728163847657500,3.220657470703125,-0.9776420593261719,1015.502197265625
1775728163887661800,3.260661865234375,-0.8243904113769531,1015.483642578125
1775728163927663000,3.3006630859375,-0.7451210021972656,1015.47412109375
1775728163967658000,3.340657958984375,-1.4004058837890625,1015.552978515625
1775728164007661600,3.38066162109375,-1.4532508850097656,1015.5595703125
1775728164047663000,3.4206630859375,-0.8930892944335938,1015.4921875
1775728164087643400,3.460643310546875,-0.6605682373046875,1015.46435546875
1775728164127661300,3.500661376953125,-0.4967479705810547,1015.444091796875
1775728164167662600,3.54066259765625,-0.4967479705810547,1015.444580078125
1775728164207654100,3.580654052734375,-0.4386177062988281,1015.437255859375
1775728164247661800,3.620661865234375,-0.4227638244628906,1015.435546875
1775728164287663400,3.660663330078125,-0.2747955322265625,1015.41796875
1775728164327653600,3.700653564453125,0.08983802795410156,1015.373779296875
1775728164367661800,3.740661865234375,0.6394309997558594,1015.307373046875
1775728164407663400,3.780663330078125,0.385772705078125,1015.338134765625
1775728164447653600,3.820653564453125,-0.08455276489257812,1015.39453125
