time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1775728160762585300,0.13558544921875,0.5527432560920715,-0.4265609383583069,-0.4218136966228485,0.5784409046173096,-0.09665566682815552,1.2853851318359375,-1.452974557876587
1775728160781113300,0.15411328125,0.5515311360359192,-0.42733439803123474,-0.4213425815105438,0.5793696045875549,-0.10826569050550461,1.2855863571166992,-1.4404594898223877
1775728160799641000,0.17264111328125,0.5506871342658997,-0.42805370688438416,-0.4203537702560425,0.5803588628768921,-0.12036223709583282,1.2847232818603516,-1.428235411643982
1775728160818169000,0.191169189453125,0.5460045337677002,-0.42663201689720154,-0.42250856757164,0.5842522382736206,-0.13236059248447418,1.285538673400879,-1.4039596319198608
1775728160836696800,0.20969677734375,0.5462227463722229,-0.428350567817688,-0.422244131565094,0.5829806327819824,-0.13717351853847504,1.2879678010940552,-1.4026612043380737
1775728160855224600,0.228224609375,0.5435881614685059,-0.4269791543483734,-0.4241306781768799,0.5850759744644165,-0.13888627290725708,1.2887896299362183,-1.3928807973861694
1775728160873752600,0.246752685546875,0.5409789681434631,-0.42443034052848816,-0.4254780113697052,0.588361382484436,-0.1398584097623825,1.2865935564041138,-1.382009744644165
1775728160892280300,0.2652802734375,0.5399580001831055,-0.4238918125629425,-0.42518487572669983,0.5898973345756531,-0.14566878974437714,1.284861445426941,-1.3733611106872559
1775728160910808000,0.28380810546875,0.5385210514068604,-0.42442914843559265,-0.42519456148147583,0.590816855430603,-0.15537628531455994,1.2854076623916626,-1.3618075847625732
1775728160929336000,0.302336181640625,0.5385836958885193,-0.4258977770805359,-0.424597829580307,0.5901316404342651,-0.16233126819133759,1.286647081375122,-1.357699990272522
1775728160947863800,0.32086376953125,0.5350486636161804,-0.42278510332107544,-0.4269394874572754,0.5938841104507446,-0.16157159209251404,1.285315752029419,-1.3455768823623657
1775728160966391800,0.339391845703125,0.5342307686805725,-0.4213828444480896,-0.42721521854400635,0.595416784286499,-0.16059964895248413,1.283359169960022,-1.342467188835144
1775728160994183400,0.367183349609375,0.5344162583351135,-0.42101335525512695,-0.42680981755256653,0.5958023071289062,-0.1604139804840088,1.281978726387024,-1.3424803018569946
1775728161012711200,0.385711181640625,0.5348958373069763,-0.42110928893089294,-0.4263449013233185,0.5956369638442993,-0.1602785438299179,1.2813173532485962,-1.3438313007354736
1775728161031239200,0.4042392578125,0.5360630750656128,-0.421723872423172,-0.42573845386505127,0.594585657119751,-0.15855124592781067,1.2814029455184937,-1.349036693572998
1775728161049767000,0.422766845703125,0.537667989730835,-0.42289623618125916,-0.4247763454914093,0.5929898619651794,-0.15774567425251007,1.2818044424057007,-1.355238437652588
1775728161068295000,0.441294921875,0.5378308892250061,-0.42313477396965027,-0.4246976673603058,0.592728316783905,-0.15792150795459747,1.2820813655853271,-1.3558136224746704
1775728161086822700,0.45982275390625,0.5393775701522827,-0.42435210943222046,-0.42360785603523254,0.5912305116653442,-0.15815746784210205,1.2822966575622559,-1.3609880208969116
1775728161105350700,0.4783505859375,0.540848433971405,-0.4249277412891388,-0.4226207137107849,0.5901788473129272,-0.1564188003540039,1.2816463708877563,-1.3668537139892578
1775728161123878400,0.49687841796875,0.5416420698165894,-0.4251168370246887,-0.422102689743042,0.5896853804588318,-0.15505868196487427,1.2811253070831299,-1.3702279329299927
1775728161142406400,0.515406494140625,0.5422491431236267,-0.4253694713115692,-0.4218217730522156,0.589146077632904,-0.15375924110412598,1.2811386585235596,-1.3732256889343262
1775728161160934000,0.533933837890625,0.5428146719932556,-0.4257589280605316,-0.42164531350135803,0.5884698629379272,-0.1525610387325287,1.2815793752670288,-1.376252293586731
1775728161179462000,0.5524619140625,0.5435369610786438,-0.4260839819908142,-0.421477735042572,0.5876874327659607,-0.15023808181285858,1.2819709777832031,-1.380595326423645
1775728161197990000,0.570989990234375,0.5439126491546631,-0.4260452687740326,-0.4213787019252777,0.5874388813972473,-0.1484980583190918,1.281803011894226,-1.3830269575119019
1775728161216517600,0.589517578125,0.5443125367164612,-0.4263257086277008,-0.42120444774627686,0.5869898200035095,-0.14789675176143646,1.2820243835449219,-1.3849462270736694
1775728161244309500,0.6173095703125,0.544810950756073,-0.4267175793647766,-0.42124372720718384,0.586214005947113,-0.1459627002477646,1.2828840017318726,-1.3885269165039062
1775728161262837200,0.635837158203125,0.544970691204071,-0.42664286494255066,-0.4211956858634949,0.5861544013023376,-0.14508752524852753,1.282702088356018,-1.3895961046218872
1775728161281365200,0.654365234375,0.5456570982933044,-0.42705100774765015,-0.42067021131515503,0.5855957269668579,-0.14497996866703033,1.2825089693069458,-1.3919055461883545
1775728161299893000,0.67289306640625,0.5467609763145447,-0.4277802109718323,-0.4199400544166565,0.5845569968223572,-0.14441557228565216,1.2825535535812378,-1.396109938621521
1775728161318420700,0.691420654296875,0.5475233793258667,-0.42838284373283386,-0.41974204778671265,0.5835434198379517,-0.1427202671766281,1.2833629846572876,-1.4004110097885132
1775728161336948700,0.70994873046875,0.5481436848640442,-0.4289032220840454,-0.419788658618927,0.5825443863868713,-0.1403297483921051,1.2844853401184082,-1.4049180746078491
1775728161355476500,0.7284765625,0.5480514764785767,-0.4288293719291687,-0.42012110352516174,0.5824458599090576,-0.13893717527389526,1.2849973440170288,-1.4059077501296997
1775728161374004200,0.747004150390625,0.5480606555938721,-0.42878350615501404,-0.4203393757343292,0.5823134779930115,-0.13762307167053223,1.285354495048523,-1.4070985317230225
1775728161392532200,0.7655322265625,0.5482684373855591,-0.42874497175216675,-0.42077094316482544,0.5818344354629517,-0.13405224680900574,1.2861915826797485,-1.4108903408050537
1775728161411060000,0.78406005859375,0.5490004420280457,-0.42827510833740234,-0.42152097821235657,0.580946683883667,-0.12454812228679657,1.2870339155197144,-1.4208000898361206
1775728161429588000,0.802587890625,0.5495798587799072,-0.4280018210411072,-0.42228418588638306,0.580045223236084,-0.11631474643945694,1.2881840467453003,-1.4294837713241577
1775728161448115700,0.82111572265625,0.5496491193771362,-0.4279896020889282,-0.4228532314300537,0.579573929309845,-0.11276909708976746,1.2892884016036987,-1.4329909086227417
