time,seconds_elapsed,steps
1775728141696786700,-18.93021337890625,0
1775728168784530700,8.15753076171875,6
1775728169471530200,8.8445302734375,7
1775728169951977500,9.3249775390625,8
1775728170693175800,10.06617578125,9
1775728171212110600,10.585110595703124,10
1775728171934430700,11.3074306640625,11
1775728172472089600,11.845089599609375,12
1775728173194567200,12.567567138671874,13
1775728173787191800,13.16019189453125,14
1775728174511215900,13.8842158203125,15
1775728175362275600,14.735275634765625,16
1775728181532039200,20.9050390625,22
1775728182013783000,21.386782958984377,23
1775728182643765500,22.016765625,24
1775728183125580300,22.498580322265624,25
1775728183755675600,23.128675537109373,26
1775728184237430800,23.6104306640625,27
1775728184831603500,24.204603515625,28
1775728185331666000,24.704666015625,29
1775728185941934600,25.3149345703125,30
1775728186423756800,25.7967568359375,31
1775728187091427600,26.464427490234375,32
1775728187610953700,26.98395361328125,33
