time,seconds_elapsed,z,y,x
1775728160729059000,0.10205908203125,6.379784107208252,-2.972590208053589,-6.828794956207275
1775728160738999600,0.11199951171875,6.363384246826172,-2.96521258354187,-6.8472795486450195
1775728160758710500,0.13171044921875,6.3404083251953125,-2.9778573513031006,-6.863089084625244
1775728160768650800,0.141650634765625,6.341024398803711,-2.9990851879119873,-6.853268146514893
1775728160778752300,0.151752197265625,6.340464115142822,-3.000511884689331,-6.8531622886657715
1775728160788823000,0.161822998046875,6.339481353759766,-3.0046231746673584,-6.852270603179932
1775728160798893800,0.171893798828125,6.338998317718506,-3.0062096118927,-6.852021217346191
1775728160808903400,0.1819033203125,6.338320732116699,-3.0080759525299072,-6.851829528808594
1775728160819035400,0.192035400390625,6.339300155639648,-3.0085039138793945,-6.850735187530518
1775728160849186800,0.222186767578125,6.343830108642578,-3.0036301612854004,-6.84868049621582
1775728160879429600,0.2524296875,6.3427042961120605,-3.002614736557007,-6.850168228149414
1775728160909611500,0.282611572265625,6.341123104095459,-3.0005877017974854,-6.852518558502197
1775728160919682300,0.292682373046875,6.34237813949585,-2.997767925262451,-6.852591514587402
1775728160959965400,0.33296533203125,6.346634864807129,-2.9885098934173584,-6.852695465087891
1775728160980046000,0.353046142578125,6.343069076538086,-2.991333484649658,-6.854763507843018
1775728160990116900,0.363116943359375,6.341470718383789,-2.993685245513916,-6.8552165031433105
1775728161000187600,0.373187744140625,6.340652942657471,-2.996567964553833,-6.854712963104248
1775728161010228000,0.38322802734375,6.339369773864746,-3.001771926879883,-6.853622913360596
1775728161020329200,0.3933291015625,6.338776588439941,-3.004441499710083,-6.853002548217773
1775728161030400000,0.40339990234375,6.337336540222168,-3.0092761516571045,-6.852212429046631
1775728161090702800,0.463702880859375,6.324807643890381,-3.0433783531188965,-6.848726749420166
1775728161110875000,0.483875,6.321147441864014,-3.054459810256958,-6.847172737121582
1775728161120915200,0.493915283203125,6.319931507110596,-3.0576484203338623,-6.846871376037598
1775728161130986000,0.503986083984375,6.318288803100586,-3.0600035190582275,-6.847334861755371
1775728161151158000,0.524157958984375,6.3176188468933105,-3.0643508434295654,-6.84600830078125
1775728161161229000,0.53422900390625,6.316334247589111,-3.0687482357025146,-6.845224380493164
1775728161171299800,0.5442998046875,6.313785552978516,-3.0760865211486816,-6.844282627105713
1775728161181370600,0.55437060546875,6.312655925750732,-3.0809953212738037,-6.843114852905273
1775728161191471900,0.564471923828125,6.310062885284424,-3.0900917053222656,-6.841404438018799
1775728161201542700,0.574542724609375,6.309986591339111,-3.0942680835723877,-6.839587688446045
1775728161211613400,0.584613525390625,6.31063985824585,-3.0970797538757324,-6.837713241577148
1775728161231694000,0.604694091796875,6.310601234436035,-3.1021313667297363,-6.8354573249816895
1775728161241764900,0.614764892578125,6.308104038238525,-3.1147468090057373,-6.83202600479126
1775728161272007700,0.645007568359375,6.2993292808532715,-3.139977216720581,-6.828571319580078
1775728161302159000,0.6751591796875,6.291412830352783,-3.1717846393585205,-6.821165561676025
1775728161312260400,0.68526025390625,6.288238525390625,-3.1800498962402344,-6.820244789123535
1775728161322331100,0.6953310546875,6.284316062927246,-3.1946587562561035,-6.817030906677246
1775728161332402000,0.70540185546875,6.279239177703857,-3.2141194343566895,-6.812560558319092
1775728161342503400,0.71550341796875,6.275834083557129,-3.224886894226074,-6.810608863830566
1775728161352574200,0.72557421875,6.273721694946289,-3.2306418418884277,-6.8098273277282715
1775728161382817000,0.755817138671875,6.267682075500488,-3.2498414516448975,-6.806251525878906
1775728161392857300,0.765857421875,6.26388692855835,-3.25974440574646,-6.8050127029418945
1775728161402928000,0.77592822265625,6.2620110511779785,-3.2665412425994873,-6.803478240966797
1775728161412968400,0.785968505859375,6.261078834533691,-3.2717323303222656,-6.801842212677002
1775728161423008800,0.7960087890625,6.261117935180664,-3.2766740322113037,-6.799426078796387
1775728161433079600,0.80607958984375,6.2611775398254395,-3.279359817504883,-6.798076629638672
1775728161443180800,0.816180908203125,6.260337829589844,-3.2841219902038574,-6.796550750732422
1775728161453221000,0.82622119140625,6.259073257446289,-3.2887613773345947,-6.795472145080566
1775728161513615400,0.886615478515625,6.244521141052246,-3.3102293014526367,-6.798435211181641
1775728161523686100,0.89668603515625,6.241453647613525,-3.312199592590332,-6.800293922424316
1775728161533696000,0.906696044921875,6.238183498382568,-3.3174350261688232,-6.800742149353027
1775728161543797200,0.91679736328125,6.234106063842773,-3.3216044902801514,-6.8024444580078125
1775728161573979100,0.946979248046875,6.223276138305664,-3.3303987979888916,-6.808058738708496
1775728161594059800,0.967059814453125,6.218624591827393,-3.333583116531372,-6.810751914978027
1775728161614231800,0.987231689453125,6.21402645111084,-3.3391659259796143,-6.812212944030762
1775728161624302600,0.997302490234375,6.212588787078857,-3.3399524688720703,-6.813137531280518
1775728161634373400,1.007373291015625,6.211693286895752,-3.343482255935669,-6.812224388122559
1775728161644444200,1.017444091796875,6.208804607391357,-3.3506946563720703,-6.811313152313232
1775728161654515200,1.02751513671875,6.201260566711426,-3.3615505695343018,-6.812836170196533
1775728161684788500,1.05778857421875,6.190775394439697,-3.3797571659088135,-6.813363552093506
1775728161694859300,1.067859375,6.189759731292725,-3.3851189613342285,-6.811624050140381
1775728161715000800,1.088000732421875,6.191323757171631,-3.398621082305908,-6.803475379943848
1775728161725071600,1.098071533203125,6.191616058349609,-3.403928279876709,-6.8005547523498535
1775728161735081500,1.10808154296875,6.191158771514893,-3.4096314907073975,-6.798113822937012
1775728161745182700,1.1181826171875,6.188676834106445,-3.414257764816284,-6.798051834106445
1775728161755253500,1.12825341796875,6.1844706535339355,-3.4233641624450684,-6.797299861907959
1775728161775364600,1.148364501953125,6.182987213134766,-3.431861162185669,-6.794363498687744
1775728161785466000,1.158466064453125,6.182888031005859,-3.4333386421203613,-6.793708801269531
1775728161795567400,1.1685673828125,6.184436321258545,-3.4339993000030518,-6.791965484619141
1775728161805638100,1.17863818359375,6.188302993774414,-3.430250406265259,-6.790336608886719
1775728161815709000,1.188708984375,6.1916656494140625,-3.430976629257202,-6.786904811859131
1775728161825810200,1.19881005859375,6.191996097564697,-3.4349570274353027,-6.784588813781738
1775728161835850500,1.2088505859375,6.192055702209473,-3.439718008041382,-6.7821221351623535
1775728161845951700,1.21895166015625,6.191745281219482,-3.44303560256958,-6.780721664428711
1775728161856022500,1.2290224609375,6.192604064941406,-3.4500277042388916,-6.776383399963379
1775728161926610000,1.29960986328125,6.1907548904418945,-3.4933810234069824,-6.755829811096191
1775728161936619500,1.30961962890625,6.1867995262146,-3.502856731414795,-6.754546165466309
1775728161946720800,1.319720703125,6.175040245056152,-3.5156280994415283,-6.758670806884766
1775728161956791800,1.329791748046875,6.169287204742432,-3.5202903747558594,-6.761496067047119
1775728161966801400,1.339801513671875,6.151241779327393,-3.533987522125244,-6.770785808563232
1775728161987004200,1.360004150390625,6.117557048797607,-3.5596296787261963,-6.787851333618164
1775728161997075000,1.370074951171875,6.09587287902832,-3.580505847930908,-6.7963738441467285
1775728162007176200,1.38017626953125,6.063277721405029,-3.618678569793701,-6.8053083419799805
1775728162017247000,1.3902470703125,6.0433855056762695,-3.6453895568847656,-6.808745384216309
1775728162027317800,1.40031787109375,5.99554967880249,-3.7176144123077393,-6.811983585357666
1775728162037419000,1.4104189453125,5.979113578796387,-3.737581253051758,-6.815503120422363
1775728162047490000,1.420489990234375,5.941121578216553,-3.792053699493408,-6.8186354637146
1775728162057560800,1.430560791015625,5.9266357421875,-3.815300703048706,-6.818273067474365
1775728162087742700,1.46074267578125,5.819249629974365,-3.9934725761413574,-6.808735370635986
1775728162097844000,1.470843994140625,5.7909393310546875,-4.0376176834106445,-6.806839466094971
1775728162107914800,1.480914794921875,5.762057781219482,-4.079095840454102,-6.806619644165039
1775728162117985500,1.490985595703125,5.747628211975098,-4.098851680755615,-6.80695104598999
1775728162128056300,1.501056396484375,5.721280574798584,-4.132183074951172,-6.808994293212891
1775728162138127000,1.511127197265625,5.695417881011963,-4.168656349182129,-6.808444976806641
1775728162148198000,1.521197998046875,5.6481475830078125,-4.228769779205322,-6.810750961303711
1775728162178379800,1.5513798828125,5.538963317871094,-4.353766441345215,-6.821657180786133
1775728162208500700,1.581500732421875,5.464650630950928,-4.450043678283691,-6.819463729858398
1775728162218602000,1.59160205078125,5.438485622406006,-4.484061241149902,-6.8180975914001465
1775728162228672800,1.6016728515625,5.405241012573242,-4.528263568878174,-6.815319538116455
1775728162238743600,1.61174365234375,5.393277645111084,-4.536891937255859,-6.819058895111084
1775728162248784000,1.621783935546875,5.370231628417969,-4.556075096130371,-6.824455261230469
1775728162258854700,1.631854736328125,5.334069728851318,-4.584445476531982,-6.833807945251465
1775728162268925400,1.641925537109375,5.309711456298828,-4.60253381729126,-6.840616703033447
1775728162289036500,1.66203662109375,5.2727556228637695,-4.625507354736328,-6.85369348526001
1775728162319249000,1.692248779296875,5.2073845863342285,-4.683757781982422,-6.864106178283691
1775728162329319700,1.702319580078125,5.175022602081299,-4.722219944000244,-6.862227916717529
