time,seconds_elapsed,z,y,x
1776038153360372500,-1522134.5446274413,-7.5,-7.980000019073486,0.5399999618530273
1776038153380053000,-1522134.5249470214,-8.039999961853027,-7.679999828338623,0.9599999785423279
1776038153400033500,-1522134.5049665528,-8.09999942779541,-6.839999675750732,1.8600000143051147
1776038153410104300,-1522134.494895752,-8.34000015258789,-6.599999904632568,1.6200000047683716
1776038153420053000,-1522134.4849470216,-9,-6.659999847412109,1.6200000047683716
1776038153430154200,-1522134.4748457032,-9.059999465942383,-6.960000038146973,1.4399999380111694
1776038153440225000,-1522134.4647749024,-9.59999942779541,-7.259999752044678,0.5399999618530273
1776038153450296000,-1522134.4547038574,-9.539999961853027,-7.199999809265137,1.1399999856948853
1776038153470376400,-1522134.4346235353,-9.539999961853027,-7.319999694824219,1.2599999904632568
1776038153480447200,-1522134.4245527345,-9.179999351501465,-7.319999694824219,1.6799999475479126
1776038153490518000,-1522134.4144819337,-8.039999961853027,-7.199999809265137,1.6799999475479126
1776038153500558300,-1522134.4044416505,-6.779999732971191,-6.899999618530273,1.6200000047683716
1776038153510659600,-1522134.3943403321,-5.21999979019165,-7.019999980926514,1.7400000095367432
1776038153520600000,-1522134.3843999023,-4.559999942779541,-7.139999866485596,1.5
1776038153530670800,-1522134.3743291015,-3.9599997997283936,-7.259999752044678,1.6200000047683716
1776038153540680400,-1522134.3643195801,-4.259999752044678,-7.37999963760376,2.0399999618530273
1776038153550751200,-1522134.3542487794,-4.5,-7.199999809265137,2.5799999237060547
1776038153560791600,-1522134.3442084962,-5.159999847412109,-7.559999942779541,2.2200000286102295
1776038153590943000,-1522134.314057129,-8.34000015258789,-7.37999963760376,1.6799999475479126
1776038153601013800,-1522134.3039863282,-7.739999771118164,-6.71999979019165,2.819999933242798
1776038153611115000,-1522134.2938850098,-6.659999847412109,-6.960000038146973,2.3999998569488525
1776038153621124900,-1522134.2838752442,-6.599999904632568,-7.559999942779541,2.2799999713897705
1776038153631226000,-1522134.2737739258,-7.139999866485596,-7.919999599456787,2.5199999809265137
1776038153641297000,-1522134.263703125,-7.37999963760376,-8.460000038146973,1.9199999570846558
1776038153651368000,-1522134.25363208,-7.37999963760376,-8.880000114440918,2.0399999618530273
1776038153681488600,-1522134.2235114747,-6.359999656677246,-8.039999961853027,1.559999942779541
1776038153691529000,-1522134.2134709472,-6.779999732971191,-7.5,2.1599998474121094
1776038153701569300,-1522134.203430664,-6.839999675750732,-7.319999694824219,1.9799998998641968
