time,seconds_elapsed,z,y,x
1776038153350471000,-1522134.5545290527,9.306262016296387,1.5490485429763794,0.6799532771110535
1776038153380053000,-1522134.5249470214,9.244012832641602,1.4413094520568848,0.7996633648872375
1776038153400033500,-1522134.5049665528,9.32541561126709,1.4652514457702637,0.8451532125473022
1776038153410104300,-1522134.494895752,9.308655738830566,1.4867992401123047,0.8355764150619507
1776038153420053000,-1522134.4849470216,9.435548782348633,1.4963760375976562,0.7805097699165344
1776038153430154200,-1522134.4748457032,9.490615844726562,1.400607943534851,0.8092401623725891
1776038153440225000,-1522134.4647749024,9.567230224609375,1.3120225667953491,0.7326257228851318
1776038153450296000,-1522134.4547038574,9.651026725769043,1.278503656387329,0.7613561153411865
1776038153460275200,-1522134.4447248536,9.634267807006836,1.2617442607879639,0.7086837291717529
1776038153480447200,-1522134.4245527345,9.667786598205566,1.3311761617660522,0.5817909836769104
1776038153490518000,-1522134.4144819337,9.653421401977539,1.3407529592514038,0.5530605912208557
1776038153500558300,-1522134.4044416505,9.66539192199707,1.2952631711959839,0.49320554733276367
1776038153510659600,-1522134.3943403321,9.603142738342285,1.357512354850769,0.4596867263317108
1776038153520600000,-1522134.3843999023,9.610325813293457,1.3958195447921753,0.4357447028160095
1776038153530670800,-1522134.3743291015,9.533711433410645,1.4293384552001953,0.49320554733276367
1776038153540680400,-1522134.3643195801,9.469067573547363,1.3982137441635132,0.5626373887062073
1776038153550751200,-1522134.3542487794,9.337387084960938,1.558625340461731,0.48602294921875
1776038153560791600,-1522134.3442084962,9.282320022583008,1.680729627609253,0.4884171485900879
1776038153570832000,-1522134.334168213,9.210494041442871,1.9105730056762695,0.6057330369949341
1776038153590943000,-1522134.314057129,9.009381294250488,2.183511972427368,0.49799394607543945
1776038153601013800,-1522134.3039863282,8.918401718139648,2.0661959648132324,0.5482721924781799
1776038153611115000,-1522134.2938850098,8.856152534484863,1.9584569931030273,0.727837324142456
1776038153621124900,-1522134.2838752442,8.777143478393555,1.9393033981323242,0.7254431247711182
1776038153631226000,-1522134.2737739258,8.834604263305664,2.0446481704711914,0.7996633648872375
1776038153641297000,-1522134.263703125,8.769960403442383,2.0901381969451904,0.8619126081466675
1776038153651368000,-1522134.25363208,8.738836288452148,2.248155355453491,0.9696516990661621
1776038153661377500,-1522134.2436225587,8.674192428588867,2.3726539611816406,0.9744400978088379
1776038153681488600,-1522134.2235114747,8.525752067565918,2.537853717803955,0.912190854549408
