time,seconds_elapsed,steps
1777560278732101400,-9.172898681640625,0
1777560292406139100,4.50113916015625,6
1777560293000449500,5.095449462890625,7
1777560293416325400,5.511325439453125,8
1777560293712258000,5.807258056640625,9
1777560294360852000,6.45585205078125,10
1777560294814612700,6.90961279296875,11
1777560295083426600,7.178426513671875,12
1777560295676394500,7.77139453125,13
1777560296343612000,8.43861181640625,14
1777560296910228000,9.00522802734375,15
1777560297168332300,9.263332275390624,16
1777560297344252000,9.439251953125,17
1777560297612636000,9.707635986328125,18
1777560298196599800,10.291599853515624,19
1777560298483949000,10.578948974609375,20
1777560298929986300,11.024986328125,21
1777560299559800300,11.65480029296875,22
1777560299836820000,11.931820068359375,23
1777560299975368400,12.070368408203125,24
1777560300271855900,12.36685595703125,25
1777560300855821000,12.950821044921875,26
1777560301115223300,13.210223388671874,27
1777560301272405800,13.36740576171875,28
1777560301560706000,13.6557060546875,29
1777560302115991800,14.21099169921875,30
1777560302356866800,14.45186669921875,31
1777560302514102500,14.6091025390625,32
1777560302792095500,14.887095458984374,33
1777560303394391800,15.489391845703125,34
1777560303811143000,15.906142822265625,35
1777560304090190800,16.18519091796875,36
1777560304691155200,16.7861552734375,37
1777560304970683400,17.065683349609376,38
1777560305136234800,17.23123486328125,39
1777560305423309000,17.51830908203125,40
1777560306053161200,18.1481611328125,41
1777560306312730600,18.407730712890626,42
1777560306490640400,18.585640380859374,43
1777560306785505500,18.880505615234377,44
1777560307405817900,19.50081787109375,45
1777560307683781000,19.778781005859376,46
1777560308129846800,20.2248466796875,47
1777560308759885000,20.854885009765624,48
1777560309046186000,21.14118603515625,49
1777560309203227600,21.2982275390625,50
1777560309472208400,21.56720849609375,51
1777560310065318000,22.16031787109375,52
1777560310361616100,22.4566162109375,53
1777560310510801000,22.60580078125,54
1777560310787866400,22.882866455078126,55
1777560311380624600,23.475624755859375,56
1777560311815978000,23.91097802734375,57
1777560312075569000,24.17056884765625,58
1777560312660615700,24.75561572265625,59
1777560312919793200,25.014793212890623,60
1777560313076003000,25.171003173828126,61
1777560313354120200,25.4491201171875,62
1777560313924119800,26.019119873046876,63
1777560314210822000,26.30582177734375,64
1777560314619732500,26.714732421875,65
1777560315193079300,27.288079345703125,66
1777560315620402700,27.715402587890626,67
1777560315879838200,27.974838134765626,68
1777560316490370300,28.585370361328124,69
1777560316767942700,28.862942626953124,70
1777560317194339600,29.289339599609374,71
1777560317769931300,29.86493115234375,72
1777560318213475600,30.3084755859375,73
1777560318472894700,30.567894775390624,74
1777560319065846800,31.1608466796875,75
1777560319751313700,31.846313720703126,76
1777560320362957000,32.45795703125,77
1777560320622362000,32.717362060546876,78
1777560320790279200,32.885279052734376,79
1777560321067112000,33.16211181640625,80
1777560321622983200,33.717983154296874,81
1777560322067540500,34.16254052734375,82
1777560322364203500,34.45920361328125,83
1777560322920324900,35.01532495117188,84
1777560323197855500,35.29285546875,85
1777560323364804600,35.4598046875,86
1777560323642760200,35.73776025390625,87
1777560324235720200,36.33072021484375,88
1777560324680448300,36.7754482421875,89
1777560324959648000,37.05464794921875,90
1777560325551194600,37.646194580078124,91
1777560325847652600,37.94265258789063,92
1777560325996073700,38.09107373046875,93
1777560326274029000,38.369029052734376,94
1777560326866812700,38.96181274414062,95
1777560327311557600,39.4065576171875,96
1777560327570975200,39.66597534179687,97
1777560328164066000,40.25906616210938,98
1777560328590336500,40.68533642578125,99
1777560328868062500,40.9630625,100
1777560329499304400,41.59430444335938,101
1777560329757435100,41.85243505859375,102
1777560329924429600,42.0194296875,103
1777560330220829000,42.31582885742188,104
1777560330832381200,42.92738110351563,105
1777560331110345200,43.20534521484375,106
1777560331277063000,43.37206298828125,107
1777560331573387800,43.6683876953125,108
1777560332203620400,44.298620361328126,109
1777560332500338200,44.595338134765626,110
1777560332649407200,44.7444072265625,111
1777560332944772600,45.03977270507813,112
1777560333574613200,45.66961328125,113
1777560333834182100,45.92918212890625,114
1777560334000882200,46.09588208007813,115
1777560334297401300,46.3924013671875,116
1777560334890427100,46.98542724609375,117
1777560335186722600,47.28172265625,118
1777560335316583700,47.41158374023438,119
1777560335613061400,47.70806127929688,120
1777560336187307500,48.2823076171875,121
