time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1777560288264915000,0.3599150390625,-0.5935404896736145,0.4082756042480469,-0.45151257514953613,0.5264571309089661,-0.38895145058631897,1.287217378616333,1.9838364124298096
1777560288292710000,0.3877099609375,-0.591262698173523,0.3998461663722992,-0.4556029140949249,0.5319374799728394,-0.4041339159011841,1.2783198356628418,1.9785372018814087
1777560288311240000,0.406239990234375,-0.5918220281600952,0.3958829641342163,-0.45851820707321167,0.5317748188972473,-0.42892301082611084,1.2738736867904663,1.9971026182174683
1777560288348299500,0.443299560546875,-0.5947654843330383,0.39265283942222595,-0.4645668566226959,0.525600016117096,-0.4935193359851837,1.2710973024368286,2.0615358352661133
1777560288366829600,0.46182958984375,-0.5944080948829651,0.3910617530345917,-0.4667608141899109,0.5252466797828674,-0.5086463093757629,1.2704352140426636,2.0728304386138916
1777560288385359600,0.480359619140625,-0.5926868915557861,0.3887970745563507,-0.46906593441963196,0.5268170833587646,-0.5166630744934082,1.269976019859314,2.0728957653045654
1777560288413154300,0.508154296875,-0.5877771377563477,0.384383887052536,-0.4704083502292633,0.5343061685562134,-0.49746841192245483,1.2681405544281006,2.0353336334228516
1777560288431684400,0.526684326171875,-0.583500862121582,0.38236722350120544,-0.4683506488800049,0.5421897172927856,-0.45615753531455994,1.266616940498352,1.9817560911178589
1777560288450214100,0.545214111328125,-0.5794901847839355,0.38221558928489685,-0.46487778425216675,0.5495370626449585,-0.4066891074180603,1.2660245895385742,1.9241520166397095
1777560288468744200,0.563744140625,-0.5761646628379822,0.38400208950042725,-0.46178779006004333,0.5543723702430725,-0.36473798751831055,1.2679840326309204,1.8788853883743286
1777560288487274000,0.58227392578125,-0.5729576945304871,0.3859497904777527,-0.4601689279079437,0.5576798319816589,-0.3345649540424347,1.2714167833328247,1.8457444906234741
1777560288505804000,0.600803955078125,-0.5698803663253784,0.3880407512187958,-0.4605449140071869,0.5590698719024658,-0.32004132866859436,1.277261734008789,1.8284635543823242
1777560288524333800,0.619333740234375,-0.5670514702796936,0.38750314712524414,-0.46302711963653564,0.5602676272392273,-0.3237803280353546,1.2810159921646118,1.8250943422317505
1777560288542864000,0.63786376953125,-0.5640625357627869,0.3835921883583069,-0.4669821858406067,0.5626882910728455,-0.33924826979637146,1.2808904647827148,1.827135682106018
1777560288561393700,0.6563935546875,-0.5614599585533142,0.37876883149147034,-0.47173836827278137,0.564588189125061,-0.36376580595970154,1.2799546718597412,1.8374011516571045
