time,seconds_elapsed,pressure,relativeAltitude
1776038153400033500,-1522134.5049665528,1022.608154296875,0
1776038153500558300,-1522134.4044416505,1022.633544921875,-0.2113800048828125
1776038153601013800,-1522134.3039863282,1022.60107421875,0.05812835693359375
1776038153701569300,-1522134.203430664,1022.60400390625,0.031707763671875
1776038153802033200,-1522134.1029667968,1022.6005859375,0.05812835693359375
1776038153902771700,-1522134.0022282714,1022.63427734375,-0.21666717529296875
1776038154003388200,-1522133.9016118164,1022.597412109375,0.08983612060546875
1776038154103974000,-1522133.801026123,1022.62158203125,-0.1109771728515625
1776038154204529400,-1522133.7004707032,1022.602294921875,0.0475616455078125
1776038154304962800,-1522133.6000371093,1022.5732421875,0.28536224365234375
1776038154405579300,-1522133.4994206543,1022.589599609375,0.15325164794921875
1776038154506195700,-1522133.3988041992,1022.587890625,0.163818359375
1776038154606812200,-1522133.298187744,1022.5927734375,0.1268310546875
1776038154707428600,-1522133.197571289,1022.599365234375,0.06870269775390625
1776038154808228000,-1522133.0967719727,1022.614013671875,-0.05284881591796875
1776038154908814000,-1522132.9961860352,1022.57861328125,0.2430877685546875
1776038155009522200,-1522132.8954777832,1022.597412109375,0.08983612060546875
1776038155110108200,-1522132.7948918457,1022.609375,-0.01056671142578125
1776038155210877200,-1522132.6941228027,1022.58056640625,0.22723388671875
1776038155311432400,-1522132.593567627,1022.584228515625,0.195526123046875
1776038155412110000,-1522132.4928898925,1022.57275390625,0.2906494140625
1776038155512665300,-1522132.3923347169,1022.621337890625,-0.1109771728515625
1776038155613281800,-1522132.2917182618,1022.61474609375,-0.05812835693359375
1776038155713898200,-1522132.1911018067,1022.6259765625,-0.1479644775390625
1776038155814453800,-1522132.0905461425,1022.619140625,-0.08983612060546875
1776038155914978600,-1522131.9900214844,1022.60693359375,0.01056671142578125
1776038156015564500,-1522131.889435547,1022.5927734375,0.1268310546875
1776038156116150500,-1522131.7888493652,1022.62939453125,-0.1796722412109375
1776038156216858600,-1522131.6881413574,1022.624755859375,-0.13739776611328125
1776038156317383400,-1522131.587616455,1022.6240234375,-0.132110595703125
1776038156418152400,-1522131.4868476563,1022.5927734375,0.1268310546875
1776038156518799400,-1522131.3862006837,1022.59521484375,0.10569000244140625
1776038156619324400,-1522131.285675537,1022.5966796875,0.095123291015625
1776038156719849200,-1522131.185150879,1022.5888671875,0.158538818359375
1776038156820404700,-1522131.0845952148,1022.606201171875,0.0158538818359375
1776038156920960000,-1522130.9840400391,1022.63232421875,-0.20081329345703125
1776038157021576400,-1522130.883423584,1022.622314453125,-0.12154388427734375
1776038157122284500,-1522130.7827155762,1022.6201171875,-0.10040283203125
1776038157222901000,-1522130.6820991212,1022.59521484375,0.10569000244140625
1776038157323578600,-1522130.5814213867,1022.6201171875,-0.10040283203125
1776038157424103400,-1522130.4808964843,1022.617431640625,-0.0792694091796875
1776038157524659000,-1522130.3803410644,1022.619140625,-0.08983612060546875
1776038157625183700,-1522130.279816162,1022.638671875,-0.25365447998046875
1776038157725922300,-1522130.1790776367,1022.61279296875,-0.04227447509765625
1776038157826538800,-1522130.0784611816,1022.606201171875,0.0158538818359375
1776038157927185700,-1522129.9778144532,1022.591796875,0.132110595703125
1776038158027832600,-1522129.8771674805,1022.59375,0.1162567138671875
1776038158128296400,-1522129.7767036133,1022.59326171875,0.12154388427734375
1776038158228943600,-1522129.6760563964,1022.639892578125,-0.26422882080078125
1776038158329529300,-1522129.5754707032,1022.612548828125,-0.03699493408203125
1776038158430084900,-1522129.474915039,1022.64306640625,-0.2906494140625
1776038158530823400,-1522129.3741765136,1022.618408203125,-0.08455657958984375
1776038158631531300,-1522129.27346875,1022.608642578125,-0.00528717041015625
1776038158732239400,-1522129.1727607423,1022.62109375,-0.10569000244140625
1776038158832947500,-1522129.0720524902,1022.65380859375,-0.38048553466796875
1776038158933564000,-1522128.9714360351,1022.6240234375,-0.132110595703125
1776038159034210800,-1522128.8707890625,1022.649169921875,-0.3382110595703125
1776038159134796800,-1522128.770203125,1022.621337890625,-0.1109771728515625
1776038159235382800,-1522128.6696171875,1022.57080078125,0.3065032958984375
1776038159336029700,-1522128.5689702148,1022.615966796875,-0.06870269775390625
1776038159436524000,-1522128.4684760743,1022.625732421875,-0.1479644775390625
1776038159537201700,-1522128.3677983398,1022.619873046875,-0.10040283203125
1776038159637909500,-1522128.2670905762,1022.6484375,-0.33292388916015625
1776038159738617600,-1522128.1663823242,1022.627685546875,-0.163818359375
1776038159839264500,-1522128.0657355958,1022.640380859375,-0.26950836181640625
1776038159939911400,-1522127.965088623,1022.597900390625,0.08455657958984375
1776038160040497400,-1522127.8645026856,1022.6279296875,-0.163818359375
1776038160141083400,-1522127.7639165039,1022.62060546875,-0.10569000244140625
1776038160241822000,-1522127.6631779785,1022.608154296875,0
1776038160342408000,-1522127.562592041,1022.64453125,-0.30121612548828125
1776038160443024400,-1522127.461975586,1022.63232421875,-0.20081329345703125
1776038160543701800,-1522127.36129834,1022.59375,0.1162567138671875
1776038160644470800,-1522127.260529297,1022.615234375,-0.05812835693359375
1776038160745117700,-1522127.1598823243,1022.598876953125,0.07398223876953125
1776038160845734100,-1522127.0592658692,1022.633056640625,-0.2061004638671875
1776038160946350800,-1522126.95864917,1022.643310546875,-0.2906494140625
1776038161047058700,-1522126.8579414063,1022.657958984375,-0.41219329833984375
1776038161147583700,-1522126.7574162597,1022.625244140625,-0.1426849365234375
1776038161248200200,-1522126.6567998047,1022.640869140625,-0.26950836181640625
1776038161348877600,-1522126.5561223144,1022.610107421875,-0.0158538818359375
1776038161449585700,-1522126.4554143066,1022.626708984375,-0.15325164794921875
1776038161550324200,-1522126.3546757812,1022.651123046875,-0.35935211181640625
1776038161650910000,-1522126.254090088,1022.642822265625,-0.28536224365234375
1776038161751496000,-1522126.1535041505,1022.591796875,0.132110595703125
1776038161852234500,-1522126.052765625,1022.60400390625,0.031707763671875
1776038161952851000,-1522125.95214917,1022.6103515625,-0.02114105224609375
